Airframe: C90B
Kp: 0.17
Ki: 0.1
Kd: 0.06
tau: 0.008
limMin: 0.05
limMax: 0.95
intLimMin: 0.05
intLimMax: 0.65
holdSpeed: 180
T: 0.05
setpoint: 180
t;error;speed;out;setpoint;Int;Diff
0.183853;44.5935;135.407;0.05;180;0.65;-77.6208
0.303467;44.3026;135.697;0.05;180;0.65;-26.1033
0.418106;44.0259;135.974;0.05;180;0.65;-8.61615
0.538513;43.7401;136.26;0.0525312;180;0.65;-3.23088
0.651672;43.4793;136.521;0.0551906;180;0.65;-1.34684
0.764084;43.2305;136.769;0.0579847;180;0.65;-0.736966
0.87915;42.9889;137.011;0.0609201;180;0.65;-0.541023
0.992523;42.7658;137.234;0.0640042;180;0.65;-0.456286
1.1087;42.554;137.446;0.0672444;180;0.65;-0.412639
1.22571;42.359;137.641;0.0706487;180;0.65;-0.374608
1.3414;42.1846;137.815;0.0742253;180;0.65;-0.34249
1.52679;41.9416;138.058;0.0779829;180;0.65;-0.398681
1.64146;41.8151;138.185;0.0819308;180;0.65;-0.287279
1.754;41.707;138.293;0.0860786;180;0.65;-0.226982
1.86688;41.6135;138.386;0.0904363;180;0.65;-0.190683
1.98595;41.5302;138.47;0.0950146;180;0.65;-0.166909
2.10519;41.461;138.539;0.0998248;180;0.65;-0.141463
2.22522;41.4047;138.595;0.104878;180;0.65;-0.1166
2.34444;41.3606;138.639;0.110188;180;0.65;-0.0931329
2.46242;41.3275;138.672;0.115766;180;0.65;-0.0714745
2.57889;41.3041;138.696;0.121627;180;0.65;-0.0519575
2.69174;41.2891;138.711;0.127784;180;0.65;-0.0349057
2.80777;41.2806;138.719;0.134253;180;0.65;-0.021384
2.91884;41.2783;138.722;0.14105;180;0.65;-0.00901383
3.03377;41.2813;138.719;0.14819;180;0.65;0.00132794
3.15367;41.2893;138.711;0.155693;180;0.65;0.0108192
3.26147;41.3001;138.7;0.163574;180;0.65;0.0176701
3.36896;41.3138;138.686;0.171855;180;0.65;0.0235716
3.48723;41.3319;138.668;0.180556;180;0.65;0.0308713
3.59692;41.3509;138.649;0.189696;180;0.65;0.0342459
3.70856;41.3721;138.628;0.1993;180;0.65;0.0377526
3.81223;41.3931;138.607;0.209389;180;0.65;0.0389037
3.91499;41.415;138.585;0.219989;180;0.65;0.0405427
4.02145;41.4385;138.561;0.231126;180;0.65;0.0431206
4.14233;41.4661;138.534;0.242827;180;0.65;0.0492694
4.25449;41.4921;138.508;0.25512;180;0.65;0.0488978
4.36758;41.5185;138.482;0.268036;180;0.65;0.0493594
4.48071;41.5451;138.455;0.281605;180;0.65;0.0497577
4.59746;41.5724;138.428;0.295861;180;0.65;0.0510272
4.71059;41.5987;138.401;0.310839;180;0.65;0.0498854
4.82367;41.6247;138.375;0.326576;180;0.65;0.0490609
4.93698;41.6504;138.35;0.343109;180;0.65;0.0483326
5.05287;41.6762;138.324;0.360478;180;0.65;0.0486561
5.17429;41.7028;138.297;0.378728;180;0.65;0.0493676
5.28877;41.7272;138.273;0.397901;180;0.65;0.0465625
5.40224;41.7507;138.249;0.418044;180;0.65;0.045005
5.51996;41.7743;138.226;0.439208;180;0.65;0.0443542
5.63747;41.7968;138.203;0.461443;180;0.65;0.0426952
5.75557;41.8179;138.182;0.484803;180;0.65;0.0404801
5.87346;41.8372;138.163;0.509346;180;0.65;0.0373966
5.99269;41.8543;138.146;0.535132;180;0.65;0.0335657
6.11877;41.8685;138.131;0.562223;180;0.65;0.0290406
6.24178;41.8773;138.123;0.590686;180;0.65;0.020169
6.36424;41.8798;138.12;0.620589;180;0.65;0.00948113
6.48509;41.8749;138.125;0.652006;180;0.65;-0.0034464
6.60638;41.8617;138.138;0.685014;180;0.65;-0.0182259
6.71634;41.8416;138.158;0.719693;180;0.65;-0.0326607
6.82697;41.8128;138.187;0.756128;180;0.65;-0.0485108
6.93811;41.7741;138.226;0.794407;180;0.65;-0.0662328
7.04863;41.7251;138.275;0.834623;180;0.65;-0.0854093
7.16852;41.6588;138.341;0.876876;180;0.65;-0.113106
7.28377;41.5806;138.419;0.921268;180;0.65;-0.137452
7.39917;41.4869;138.513;0.967907;180;0.65;-0.165143
7.51387;41.3767;138.623;1.01691;180;0.65;-0.195266
7.63329;41.2422;138.758;1.06839;180;0.65;-0.23152
7.75056;41.0886;138.911;0.95;180;0.65;-0.271265
7.86784;40.912;139.088;0.92169;180;0.65;-0.313883
7.98567;40.7104;139.29;0.885191;180;0.65;-0.358301
8.10457;40.4822;139.518;0.850138;180;0.65;-0.408978
8.22183;40.2336;139.766;0.816472;180;0.65;-0.451791
8.34068;39.9594;140.041;0.78414;180;0.65;-0.495693
8.45927;39.6657;140.334;0.753088;180;0.65;-0.534553
8.58005;39.3491;140.651;0.738026;180;0.65;-0.575543
8.69786;39.0266;140.973;0.738026;180;0.65;-0.597233
8.82243;38.6743;141.326;0.775389;180;0.65;-0.634823
8.9371;38.3433;141.657;0.814643;180;0.65;-0.627221
