Airframe: C90B
Kp: 0.18
Ki: 0.122625
Kd: 0.220183
tau: 0.025
limMin: 0.25
limMax: 0.765
intLimMin: 0.25
intLimMax: 0.5
holdSpeed: 180
T: 0.05
setpoint: 180
t;error;speed;out;setpoint
0.161133;27.5397;152.46;0.765;180
0.272217;27.5596;152.44;0.765;180
0.37915;27.5791;152.421;0.765;180
0.480713;27.5976;152.402;0.765;180
0.588379;27.6157;152.384;0.765;180
0.694824;27.6308;152.369;0.765;180
0.806396;27.6413;152.359;0.765;180
0.907715;27.6449;152.355;0.765;180
1.01245;27.6411;152.359;0.765;180
1.11353;27.629;152.371;0.765;180
1.21875;27.6064;152.394;0.765;180
1.34033;27.5668;152.433;0.765;180
1.45264;27.5169;152.483;0.765;180
1.55371;27.4604;152.54;0.765;180
1.65845;27.3908;152.609;0.765;180
1.76978;27.3041;152.696;0.765;180
1.88086;27.2051;152.795;0.765;180
1.98218;27.1045;152.895;0.765;180
2.08276;26.9951;153.005;0.765;180
2.19141;26.8674;153.133;0.765;180
2.30298;26.7266;153.273;0.765;180
2.41528;26.5752;153.425;0.765;180
2.52686;26.4168;153.583;0.765;180
2.63916;26.2499;153.75;0.765;180
2.75024;26.0782;153.922;0.765;180
2.86255;25.8987;154.101;0.765;180
2.97266;25.7179;154.282;0.765;180
3.07886;25.5396;154.46;0.765;180
3.1875;25.3535;154.647;0.765;180
3.28809;25.179;154.821;0.765;180
3.39697;24.9879;155.012;0.765;180
3.4978;24.8088;155.191;0.765;180
3.59863;24.6288;155.371;0.765;180
3.70508;24.4379;155.562;0.765;180
3.81592;24.2382;155.762;0.765;180
3.92554;24.0401;155.96;0.765;180
4.03735;23.838;156.162;0.765;180
4.14258;23.6483;156.352;0.765;180
4.24854;23.4573;156.543;0.765;180
4.35986;23.2575;156.742;0.765;180
4.46899;23.0622;156.938;0.765;180
4.57959;22.8657;157.134;0.765;180
4.73389;22.5932;157.407;0.765;180
4.84473;22.3988;157.601;0.765;180
4.95728;22.2027;157.797;0.765;180
5.06348;22.0195;157.98;0.765;180
5.16968;21.8374;158.163;0.765;180
5.27759;21.6541;158.346;0.765;180
5.38281;21.4766;158.523;0.765;180
5.48389;21.3075;158.693;0.765;180
5.58423;21.1411;158.859;0.765;180
5.69263;20.9632;159.037;0.765;180
5.80566;20.7795;159.221;0.765;180
5.91309;20.6066;159.393;0.765;180
6.02222;20.4332;159.567;0.765;180
6.12695;20.2683;159.732;0.765;180
6.23804;20.0954;159.905;0.765;180
6.34985;19.9232;160.077;0.765;180
6.46094;19.7542;160.246;0.765;180
6.57202;19.5867;160.413;0.765;180
6.68457;19.419;160.581;0.765;180
6.79565;19.255;160.745;0.765;180
6.89575;19.1085;160.892;0.765;180
7.00317;18.9528;161.047;0.765;180
7.10742;18.8028;161.197;0.765;180
7.21265;18.6531;161.347;0.765;180
7.36133;18.4433;161.557;0.765;180
7.46167;18.3032;161.697;0.765;180
7.56836;18.155;161.845;0.765;180
7.68066;18.0003;162;0.765;180
7.79126;17.8487;162.151;0.765;180
7.9021;17.6982;162.302;0.765;180
8.00635;17.557;162.443;0.765;180
8.10718;17.4214;162.579;0.765;180
8.21484;17.2773;162.723;0.765;180
8.3252;17.13;162.87;0.765;180
8.4353;16.9838;163.016;0.765;180
8.54736;16.8356;163.164;0.765;180
8.65308;16.6958;163.304;0.765;180
8.76221;16.5522;163.448;0.765;180
8.87109;16.4088;163.591;0.765;180
8.98535;16.2589;163.741;0.765;180
9.09253;16.1185;163.882;0.765;180
9.198;15.9805;164.02;0.765;180
9.3042;15.8417;164.158;0.765;180
9.40796;15.7056;164.294;0.765;180
9.50903;15.5732;164.427;0.765;180
9.61011;15.441;164.559;0.765;180
9.71509;15.3039;164.696;0.765;180
9.82593;15.1588;164.841;0.765;180
9.9353;15.0156;164.984;0.765;180
10.0459;14.8706;165.129;0.765;180
10.1516;14.7321;165.268;0.765;180
10.2607;14.5888;165.411;0.765;180
10.3735;14.4405;165.56;0.765;180
10.4741;14.308;165.692;0.765;180
10.5806;14.1676;165.832;0.765;180
10.6873;14.0265;165.973;0.765;180
10.7983;13.8795;166.12;0.765;180
10.9121;13.7284;166.272;0.765;180
