Airframe: C90B
Kp: 0.135
Ki: 0.055181
Kd: 0
tau: 0.025
limMin: 0.25
limMax: 0.765
intLimMin: 0.25
intLimMax: 0.5
holdSpeed: 180
T: 0.025
setpoint: 180
t;error;speed;out;setpoint
0.148193;30.5998;149.4;0.765;180
0.27124;30.6398;149.36;0.765;180
0.393311;30.6774;149.323;0.765;180
0.515381;30.7101;149.29;0.765;180
0.637939;30.7354;149.265;0.765;180
0.750732;30.7497;149.25;0.765;180
0.878418;30.7533;149.247;0.765;180
1.00757;30.741;149.259;0.765;180
1.12866;30.7136;149.286;0.765;180
1.25171;30.6693;149.331;0.765;180
1.38062;30.6046;149.395;0.765;180
1.49536;30.5309;149.469;0.765;180
1.60059;30.451;149.549;0.765;180
1.7124;30.3528;149.647;0.765;180
1.82324;30.2429;149.757;0.765;180
1.93286;30.1227;149.877;0.765;180
2.04297;29.991;150.009;0.765;180
2.15405;29.8484;150.152;0.765;180
2.2627;29.6996;150.3;0.765;180
2.37256;29.5411;150.459;0.765;180
2.48438;29.3716;150.628;0.765;180
2.59448;29.1987;150.801;0.765;180
2.70508;29.019;150.981;0.765;180
2.8147;28.836;151.164;0.765;180
2.92798;28.6425;151.357;0.765;180
3.03979;28.4482;151.552;0.765;180
3.15015;28.2528;151.747;0.765;180
3.2583;28.0594;151.941;0.765;180
3.36279;27.8707;152.129;0.765;180
3.46289;27.6891;152.311;0.765;180
3.58447;27.4669;152.533;0.765;180
3.70117;27.2531;152.747;0.765;180
3.81445;27.0459;152.954;0.765;180
3.91675;26.8584;153.142;0.765;180
4.01855;26.6719;153.328;0.765;180
4.12695;26.4742;153.526;0.765;180
4.24341;26.2628;153.737;0.765;180
4.36426;26.0446;153.955;0.765;180
4.47144;25.8523;154.148;0.765;180
4.59985;25.6231;154.377;0.765;180
4.72192;25.4075;154.592;0.765;180
4.84302;25.1957;154.804;0.765;180
4.96021;24.9931;155.007;0.765;180
5.07007;24.8044;155.196;0.765;180
5.17969;24.6186;155.381;0.765;180
5.29077;24.432;155.568;0.765;180
5.40186;24.2473;155.753;0.765;180
5.51318;24.0641;155.936;0.765;180
5.6228;23.8859;156.114;0.765;180
5.73267;23.7087;156.291;0.765;180
5.84131;23.5358;156.464;0.765;180
5.95044;23.3632;156.637;0.765;180
6.06104;23.1904;156.81;0.765;180
6.17041;23.0211;156.979;0.765;180
6.28174;22.8502;157.15;0.765;180
6.39185;22.683;157.317;0.765;180
6.50171;22.5175;157.483;0.765;180
6.6167;22.3457;157.654;0.765;180
6.72168;22.1906;157.809;0.765;180
6.83081;22.0305;157.97;0.765;180
6.94385;21.8658;158.134;0.765;180
7.05591;21.7039;158.296;0.765;180
7.16772;21.5437;158.456;0.765;180
7.27856;21.3857;158.614;0.765;180
7.39087;21.2266;158.773;0.765;180
7.5022;21.0702;158.93;0.765;180
7.61475;20.9125;159.087;0.765;180
7.72168;20.764;159.236;0.765;180
7.83032;20.6134;159.387;0.765;180
7.93945;20.463;159.537;0.765;180
8.04956;20.3116;159.688;0.765;180
8.15869;20.1619;159.838;0.765;180
8.27051;20.0094;159.991;0.765;180
8.37329;19.8694;160.131;0.765;180
8.4751;19.7313;160.269;0.765;180
8.57739;19.5925;160.407;0.765;180
8.67871;19.4557;160.544;0.765;180
8.80566;19.2845;160.715;0.765;180
8.92651;19.1221;160.878;0.765;180
9.05396;18.9511;161.049;0.765;180
9.15625;18.8143;161.186;0.765;180
9.27612;18.6537;161.346;0.765;180
9.40405;18.4823;161.518;0.765;180
9.53223;18.3107;161.689;0.765;180
9.65308;18.1489;161.851;0.765;180
9.75952;18.006;161.994;0.765;180
9.88086;17.8431;162.157;0.765;180
10.0027;17.679;162.321;0.765;180
10.1055;17.5405;162.459;0.765;180
10.2136;17.3941;162.606;0.765;180
