Airframe: C90B
Kp: 0.1
Ki: 0.103673
Kd: 0.127324
tau: 0.025
limMin: 0.25
limMax: 0.765
intLimMin: 0.25
intLimMax: 0.5
holdSpeed: 180
T: 0.05
setpoint: 180
t;error;speed;out;setpoint
0.151367;22.1936;157.806;0.765;180
0.25415;22.2344;157.766;0.765;180
0.356445;22.2751;157.725;0.765;180
0.458008;22.3154;157.685;0.765;180
0.563721;22.3561;157.644;0.765;180
0.669678;22.3941;157.606;0.765;180
0.776855;22.4277;157.572;0.765;180
0.887207;22.4556;157.544;0.765;180
0.993896;22.4744;157.526;0.765;180
1.104;22.4838;157.516;0.765;180
1.21216;22.4821;157.518;0.765;180
1.32031;22.4688;157.531;0.765;180
1.43164;22.4424;157.558;0.765;180
1.54419;22.4019;157.598;0.765;180
1.6582;22.3474;157.653;0.765;180
1.77051;22.2802;157.72;0.765;180
1.87061;22.2093;157.791;0.765;180
1.97241;22.1271;157.873;0.765;180
2.07959;22.0303;157.97;0.765;180
2.19214;21.9175;158.082;0.765;180
2.30664;21.7922;158.208;0.765;180
2.41846;21.6603;158.34;0.765;180
2.53174;21.5181;158.482;0.765;180
2.64355;21.37;158.63;0.765;180
2.7478;21.2258;158.774;0.765;180
2.85522;21.0719;158.928;0.765;180
2.95728;20.921;159.079;0.765;180
3.05957;20.7663;159.234;0.765;180
3.16064;20.6095;159.39;0.765;180
3.2688;20.4394;159.561;0.765;180
3.38062;20.2603;159.74;0.765;180
3.48755;20.087;159.913;0.765;180
3.59399;19.9127;160.087;0.765;180
3.70166;19.7355;160.264;0.765;180
3.80908;19.5578;160.442;0.765;180
3.92041;19.3729;160.627;0.765;180
4.02686;19.1961;160.804;0.765;180
4.12769;19.0284;160.972;0.765;180
4.22925;18.86;161.14;0.765;180
4.33521;18.6843;161.316;0.765;180
4.44702;18.4998;161.5;0.765;180
4.55957;18.3151;161.685;0.765;180
4.67017;18.1343;161.866;0.765;180
4.77319;17.967;162.033;0.765;180
4.88647;17.7847;162.215;0.765;180
4.9978;17.6065;162.393;0.765;180
5.11108;17.4264;162.574;0.765;180
