Airframe: C90B
Kp: 0.165
Ki: 0.17106
Kd: 0.212206
tau: 0.025
limMin: 0.25
limMax: 0.765
intLimMin: 0.25
intLimMax: 0.5
holdSpeed: 180
T: 0.05
setpoint: 180
t;error;speed;out;setpoint
0.163574;29.5231;150.477;0.765;180
0.273193;29.5568;150.443;0.765;180
0.38623;29.5914;150.409;0.765;180
0.494141;29.6244;150.376;0.765;180
0.601807;29.6555;150.344;0.765;180
0.704102;29.682;150.318;0.765;180
0.806396;29.7035;150.297;0.765;180
0.907227;29.7186;150.281;0.765;180
1.01929;29.7264;150.274;0.765;180
1.13281;29.7231;150.277;0.765;180
1.24438;29.7076;150.292;0.765;180
1.35693;29.6785;150.321;0.765;180
1.4646;29.6376;150.362;0.765;180
1.57178;29.584;150.416;0.765;180
1.68384;29.5143;150.486;0.765;180
1.79541;29.4307;150.569;0.765;180
1.90942;29.3321;150.668;0.765;180
2.01685;29.2266;150.773;0.765;180
2.12549;29.1091;150.891;0.765;180
2.22681;28.9897;151.01;0.765;180
2.3269;28.8634;151.137;0.765;180
2.43823;28.714;151.286;0.765;180
2.55078;28.5541;151.446;0.765;180
2.66333;28.3864;151.614;0.765;180
2.77637;28.2111;151.789;0.765;180
2.88989;28.0284;151.972;0.765;180
2.99829;27.8494;152.151;0.765;180
3.10913;27.6614;152.339;0.765;180
3.22412;27.4628;152.537;0.765;180
3.32544;27.2847;152.715;0.765;180
3.42578;27.1065;152.894;0.765;180
3.53369;26.9132;153.087;0.765;180
3.64575;26.7107;153.289;0.765;180
3.74829;26.5241;153.476;0.765;180
3.84937;26.34;153.66;0.765;180
3.9519;26.1526;153.847;0.765;180
4.06274;25.9501;154.05;0.765;180
4.17822;25.7392;154.261;0.765;180
4.28442;25.5456;154.454;0.765;180
4.39648;25.3426;154.657;0.765;180
4.50366;25.1489;154.851;0.765;180
4.61401;24.9504;155.05;0.765;180
4.72437;24.7532;155.247;0.765;180
4.83252;24.5609;155.439;0.765;180
4.93481;24.3809;155.619;0.765;180
5.04712;24.1846;155.815;0.765;180
5.15845;23.9919;156.008;0.765;180
5.26904;23.802;156.198;0.765;180
5.38037;23.6132;156.387;0.765;180
5.48608;23.4353;156.565;0.765;180
5.59912;23.2471;156.753;0.765;180
5.70557;23.0717;156.928;0.765;180
5.8064;22.9072;157.093;0.765;180
5.90747;22.7435;157.256;0.765;180
6.01807;22.5662;157.434;0.765;180
6.11865;22.4066;157.593;0.765;180
6.21973;22.2473;157.753;0.765;180
6.33154;22.0733;157.927;0.765;180
6.44141;21.9033;158.097;0.765;180
6.55054;21.7363;158.264;0.765;180
6.65454;21.5785;158.422;0.765;180
6.75537;21.4268;158.573;0.765;180
6.86328;21.2654;158.735;0.765;180
6.96436;21.1159;158.884;0.765;180
7.07617;20.9514;159.049;0.765;180
7.18628;20.7908;159.209;0.765;180
7.29443;20.6343;159.366;0.765;180
7.39478;20.4898;159.51;0.765;180
7.50415;20.3336;159.666;0.765;180
7.61011;20.1833;159.817;0.765;180
7.71021;20.0417;159.958;0.765;180
7.81055;19.9007;160.099;0.765;180
7.91064;19.7606;160.239;0.765;180
8.01733;19.612;160.388;0.765;180
8.12598;19.4613;160.539;0.765;180
8.22827;19.3198;160.68;0.765;180
8.33008;19.1795;160.821;0.765;180
8.43408;19.0365;160.964;0.765;180
8.54443;18.8855;161.114;0.765;180
8.64453;18.7487;161.251;0.765;180
8.75659;18.5958;161.404;0.765;180
8.86133;18.4534;161.547;0.765;180
8.96362;18.3147;161.685;0.765;180
9.07495;18.164;161.836;0.765;180
9.17578;18.0275;161.973;0.765;180
9.27588;17.8924;162.108;0.765;180
9.37622;17.757;162.243;0.765;180
9.48486;17.6109;162.389;0.765;180
9.58862;17.4711;162.529;0.765;180
9.68872;17.3367;162.663;0.765;180
9.83838;17.1354;162.865;0.765;180
9.93921;16.9997;163;0.765;180
10.0503;16.8504;163.15;0.765;180
10.1606;16.7017;163.298;0.765;180
10.2693;16.5549;163.445;0.765;180
10.3801;16.4054;163.595;0.765;180
10.4817;16.2677;163.732;0.765;180
