Airframe: C90B
Kp: 0.17
Ki: 0.1
Kd: 0.06
tau: 0.008
limMin: 0.05
limMax: 0.765
intLimMin: 0.05
intLimMax: 0.555
holdSpeed: 175
T: 0.05
setpoint: 175
t;error;speed;out;setpoint;Int;Diff
0.158203;-2.75516;177.755;0.05;175;0.05;-89.8155
0.268555;-2.7462;177.746;0.05;175;0.05;-27.1714
0.379395;-2.7366;177.737;0.05;175;0.05;-8.26155
0.490967;-2.72633;177.726;0.05;175;0.05;-2.52429
0.606689;-2.71478;177.715;0.05;175;0.05;-0.794704
0.715576;-2.70329;177.703;0.05;175;0.05;-0.220568
0.821533;-2.69142;177.691;0.05;175;0.05;-0.0474654
0.928223;-2.67871;177.679;0.05;175;0.05;0.00318694
1.03638;-2.66502;177.665;0.05;175;0.05;0.0192246
1.14233;-2.65094;177.651;0.05;175;0.05;0.024375
1.24683;-2.63618;177.636;0.05;175;0.05;0.0267825
1.35059;-2.62086;177.621;0.05;175;0.05;0.0283312
1.45605;-2.60458;177.605;0.05;175;0.05;0.0299929
1.5686;-2.58635;177.586;0.05;175;0.05;0.0329371
1.67554;-2.5683;177.568;0.05;175;0.05;0.0336
1.7832;-2.54932;177.549;0.05;175;0.05;0.035114
1.89282;-2.52921;177.529;0.05;175;0.05;0.03675
2.00098;-2.5085;177.508;0.05;175;0.05;0.0381428
2.10889;-2.48691;177.487;0.05;175;0.05;0.0400174
2.22021;-2.46371;177.464;0.05;175;0.05;0.0428504
2.32837;-2.4402;177.44;0.05;175;0.05;0.0437167
2.43652;-2.41566;177.416;0.05;175;0.05;0.0451749
2.54565;-2.38982;177.39;0.05;175;0.05;0.0475996
2.65601;-2.36266;177.363;0.05;175;0.05;0.0501469
2.7688;-2.3336;177.334;0.05;175;0.05;0.0530568
2.87817;-2.30434;177.304;0.05;175;0.05;0.054459
2.98462;-2.27467;177.275;0.05;175;0.05;0.0553931
3.0957;-2.24274;177.243;0.05;175;0.05;0.0586197
3.21094;-2.20807;177.208;0.05;175;0.05;0.0625603
3.32446;-2.17265;177.173;0.05;175;0.05;0.0650008
3.44165;-2.13478;177.135;0.05;175;0.05;0.0699723
3.56079;-2.09467;177.095;0.05;175;0.05;0.0731817
3.67529;-2.05473;177.055;0.05;175;0.05;0.0743981
3.78906;-2.01346;177.013;0.05;175;0.05;0.0767176
3.90674;-1.96921;176.969;0.05;175;0.05;0.0791541
4.01221;-1.92819;176.928;0.05;175;0.05;0.0778899
4.11719;-1.88617;176.886;0.05;175;0.05;0.0785493
4.23364;-1.83745;176.837;0.05;175;0.05;0.0884335
4.34521;-1.78966;176.79;0.05;175;0.05;0.0880655
4.4502;-1.74326;176.743;0.05;175;0.05;0.0873241
4.56226;-1.69234;176.692;0.05;175;0.05;0.0937591
4.67944;-1.63724;176.637;0.05;175;0.05;0.100148
4.80005;-1.57896;176.579;0.05;175;0.05;0.106755
4.92627;-1.51579;176.516;0.05;175;0.05;0.114348
5.02954;-1.46263;176.463;0.05;175;0.05;0.104392
5.1416;-1.40349;176.403;0.05;175;0.05;0.109216
5.2561;-1.3416;176.342;0.05;175;0.05;0.113933
5.3689;-1.27907;176.279;0.05;175;0.05;0.116609
5.48169;-1.21481;176.215;0.05;175;0.05;0.119221
5.59985;-1.14597;176.146;0.05;175;0.05;0.126137
5.71094;-1.07986;176.08;0.05;175;0.05;0.124838
5.82666;-1.00919;176.009;0.05;175;0.05;0.131369
5.93286;-0.942963;175.943;0.05;175;0.05;0.12658
6.04053;-0.874512;175.875;0.05;175;0.05;0.127888
6.14453;-0.807037;175.807;0.05;175;0.05;0.126951
6.26562;-0.726929;175.727;0.0690616;175;0.05;0.142639
6.37378;-0.653793;175.654;0.0777234;175;0.05;0.138868
6.48364;-0.578064;175.578;0.0927628;175;0.05;0.141034
6.60059;-0.496063;175.496;0.115504;175;0.05;0.149835
6.71802;-0.412064;175.412;0.135466;175;0.05;0.155517
6.82983;-0.330521;175.331;0.147536;175;0.05;0.153724
6.93726;-0.251129;175.251;0.157924;175;0.05;0.150616
7.04565;-0.169525;175.17;0.17415;175;0.05;0.15297
7.15405;-0.0865021;175.087;0.190122;175;0.05;0.154827
7.2605;-0.00369263;175.004;0.204759;175;0.05;0.155387
7.37231;0.0846558;174.915;0.227403;175;0.0504521;0.162559
7.48438;0.174545;174.825;0.248232;175;0.0519042;0.166655
7.59717;0.266602;174.733;0.271113;175;0.0543913;0.171399
7.71118;0.360947;174.639;0.294651;175;0.0579669;0.175323
7.83032;0.461029;174.539;0.324226;175;0.062862;0.182989
7.93384;0.549179;174.451;0.33039;175;0.0680902;0.16894
8.05078;0.650238;174.35;0.370678;175;0.0751021;0.185036
8.16577;0.750961;174.249;0.392004;175;0.0831563;0.181185
8.28345;0.855286;174.145;0.42466;175;0.0926064;0.186655
8.40552;0.965118;174.035;0.467319;175;0.103717;0.199532
8.53198;1.07999;173.92;0.510104;175;0.116647;0.209859
8.66162;1.19844;173.802;0.552762;175;0.131416;0.217611
8.78931;1.31511;173.685;0.58975;175;0.147464;0.218718
8.92041;1.43343;173.567;0.629333;175;0.165483;0.220168
9.04858;1.54575;173.454;0.661284;175;0.184579;0.213929
9.17725;1.65393;173.346;0.691981;175;0.205167;0.205645
9.30566;1.75508;173.245;0.720486;175;0.227062;0.195061
9.42114;1.83905;173.161;0.731373;175;0.247819;0.170915
9.54932;1.92232;173.078;0.758929;175;0.271934;0.160201
9.66284;1.98621;173.014;0.765;175;0.294127;0.133333
9.78955;2.04504;172.955;0.765;175;0.319677;0.117428
9.90576;2.086;172.914;0.765;175;0.34369;0.0899135
10.033;2.11552;172.884;0.765;175;0.370424;0.0666325
10.1479;2.12779;172.872;0.765;175;0.394831;0.033902
10.2515;2.12671;172.873;0.765;175;0.416859;0.00669941
10.3599;2.11305;172.887;0.765;175;0.439847;-0.0171861
10.4644;2.08801;172.912;0.765;175;0.461804;-0.039859
10.5669;2.05235;172.948;0.765;175;0.483038;-0.0606699
10.6763;2.00233;172.998;0.760079;175;0.50522;-0.0855381
10.7839;1.94185;173.058;0.750659;175;0.526461;-0.105916
10.8936;1.86931;173.131;0.73765;175;0.547357;-0.127489
11.0015;1.78812;173.212;0.712994;175;0.555;-0.145986
11.1106;1.69675;173.303;0.679201;175;0.555;-0.164246
11.2209;1.59598;173.404;0.645025;175;0.555;-0.181291
11.3281;1.49149;173.509;0.61671;175;0.555;-0.191843
11.4351;1.38203;173.618;0.588149;175;0.555;-0.201797
11.5435;1.26704;173.733;0.559076;175;0.555;-0.211322
11.6528;1.14922;173.851;0.531969;175;0.555;-0.218397
11.7642;1.0284;173.972;0.50498;175;0.555;-0.224847
11.8774;0.90686;174.093;0.481859;175;0.555;-0.227307
11.9854;0.794388;174.206;0.474867;175;0.555;-0.215179
12.095;0.684952;174.315;0.464378;175;0.555;-0.207064
12.2053;0.58107;174.419;0.455188;175;0.555;-0.198594
12.324;0.478088;174.522;0.44048;175;0.555;-0.195795
12.4336;0.392166;174.608;0.452154;175;0.555;-0.169514
12.5427;0.316696;174.683;0.460123;175;0.555;-0.148716
12.6519;0.251678;174.748;0.46875;175;0.555;-0.129035
12.76;0.197845;174.802;0.48074;175;0.555;-0.107893
12.8689;0.154694;174.845;0.493403;175;0.555;-0.0878952
12.9792;0.12207;174.878;0.507443;175;0.555;-0.0683085
13.0886;0.100449;174.9;0.524272;175;0.555;-0.0478044
13.1992;0.0889435;174.911;0.541675;175;0.555;-0.0284459
13.3093;0.0872955;174.913;0.559956;175;0.555;-0.0098845
13.4189;0.0944061;174.906;0.578218;175;0.555;0.00716929
13.5278;0.109253;174.891;0.59597;175;0.555;0.0223974
13.6367;0.130875;174.869;0.612891;175;0.555;0.0356428
13.7483;0.15889;174.841;0.629928;175;0.555;0.0479171
13.8618;0.192261;174.808;0.645785;175;0.555;0.0581011
13.9736;0.228745;174.771;0.659079;175;0.555;0.0651921
14.0845;0.267075;174.733;0.670296;175;0.555;0.0698932
14.1941;0.306061;174.694;0.679332;175;0.555;0.0723017
14.3088;0.346817;174.653;0.689019;175;0.555;0.0750602
14.4297;0.387985;174.612;0.697016;175;0.555;0.0760586
14.5391;0.42244;174.578;0.69424;175;0.555;0.0674252
14.6509;0.454102;174.546;0.69353;175;0.555;0.0613324
14.7634;0.481506;174.518;0.690813;175;0.555;0.0539566
14.8772;0.504166;174.496;0.686531;175;0.555;0.0458233
14.9885;0.520859;174.479;0.678739;175;0.555;0.0351925
15.0989;0.531982;174.468;0.669955;175;0.555;0.0245183
15.2104;0.537811;174.462;0.660912;175;0.555;0.0144836
15.3186;0.538284;174.462;0.650919;175;0.555;0.00441116
15.4292;0.533981;174.466;0.641035;175;0.555;-0.00474229
15.542;0.524796;174.475;0.63047;175;0.555;-0.0137448
15.6545;0.511597;174.488;0.620262;175;0.555;-0.0217095
15.7695;0.4944;174.506;0.609873;175;0.555;-0.0291754
15.8835;0.474548;174.525;0.600716;175;0.555;-0.0349574
16.0105;0.449951;174.55;0.589102;175;0.555;-0.0423902
16.1238;0.426682;174.573;0.584148;175;0.555;-0.0433877
16.2361;0.403061;174.597;0.579628;175;0.555;-0.043892
16.3484;0.379578;174.62;0.575419;175;0.555;-0.0441096
16.4626;0.356567;174.643;0.572573;175;0.555;-0.0430431
16.574;0.335617;174.664;0.571616;175;0.555;-0.0404385
16.6899;0.315674;174.684;0.570432;175;0.555;-0.0382329
16.8069;0.298019;174.702;0.571084;175;0.555;-0.0345798
16.9192;0.283844;174.716;0.574339;175;0.555;-0.0289147
17.0376;0.272003;174.728;0.577141;175;0.555;-0.0241
17.155;0.26355;174.736;0.581568;175;0.555;-0.0182351
17.2805;0.258209;174.742;0.586172;175;0.555;-0.0127234
17.3987;0.256546;174.743;0.592559;175;0.555;-0.00605351
17.5168;0.258026;174.742;0.599042;175;0.555;0.000177665
17.6328;0.262238;174.738;0.605128;175;0.555;0.00554781
17.7429;0.268463;174.732;0.610657;175;0.555;0.0100184
17.8508;0.276413;174.724;0.615564;175;0.555;0.013574
17.9626;0.286316;174.714;0.620861;175;0.555;0.017187
18.0732;0.29718;174.703;0.625094;175;0.555;0.0195731
18.1887;0.309235;174.691;0.629234;175;0.555;0.0216642
18.3044;0.321625;174.678;0.632312;175;0.555;0.0226358
18.4395;0.335938;174.664;0.637593;175;0.555;0.0254832
18.5571;0.347656;174.652;0.637139;175;0.555;0.0230379
18.6731;0.357986;174.642;0.636236;175;0.555;0.0203781
18.7896;0.366806;174.633;0.634935;175;0.555;0.0175779
18.8997;0.37326;174.627;0.632029;175;0.555;0.0135751
19.011;0.377716;174.622;0.628942;175;0.555;0.00972995
19.1191;0.379974;174.62;0.625246;175;0.555;0.00564996
19.2295;0.380005;174.62;0.621153;175;0.555;0.00155187
19.3394;0.377884;174.622;0.616714;175;0.555;-0.00252676
19.4551;0.373337;174.627;0.611661;175;0.555;-0.00680609
19.5691;0.366714;174.633;0.606526;175;0.555;-0.0108155
19.6858;0.357819;174.642;0.600848;175;0.555;-0.0149807
19.802;0.347031;174.653;0.595291;175;0.555;-0.0187045
19.9155;0.334854;174.665;0.590246;175;0.555;-0.0216787
20.0293;0.321487;174.679;0.585666;175;0.555;-0.0239865
20.1426;0.307129;174.693;0.581114;175;0.555;-0.0260977
20.2561;0.292007;174.708;0.576937;175;0.555;-0.0277045
