Airframe: C90B
Kp: 0.17
Ki: 0.1
Kd: 0.06
tau: 0.008
limMin: 0.1
limMax: 0.765
intLimMin: 0.05
intLimMax: 0.555
holdSpeed: 180
T: 0.05
setpoint: 180
t;error;speed;out;setpoint;Int;Diff
0.187134;-4.50702;184.507;0.1;180;0.05;-83.3207
0.300781;-4.50301;184.503;0.1;180;0.05;-26.1753
0.435181;-4.49687;184.497;0.1;180;0.05;-9.77596
0.562988;-4.48782;184.488;0.1;180;0.05;-3.48696
0.681763;-4.47488;184.475;0.1;180;0.05;-1.11768
0.804443;-4.45537;184.455;0.1;180;0.05;-0.358949
0.927368;-4.42812;184.428;0.1;180;0.05;-0.0893264
1.04883;-4.39249;184.392;0.1;180;0.05;0.0146539
1.16895;-4.34813;184.348;0.1;180;0.05;0.0611273
1.2865;-4.29559;184.296;0.1;180;0.05;0.0871837
1.40759;-4.2318;184.232;0.1;180;0.05;0.10934
1.53662;-4.15321;184.153;0.1;180;0.05;0.134595
1.65833;-4.06934;184.069;0.1;180;0.05;0.151684
1.78821;-3.96989;183.97;0.1;180;0.05;0.172449
1.9104;-3.86757;183.868;0.1;180;0.05;0.185458
2.03235;-3.75758;183.758;0.1;180;0.05;0.198486
2.15552;-3.63892;183.639;0.1;180;0.05;0.214734
2.27258;-3.51984;183.52;0.1;180;0.05;0.220721
2.39282;-3.39171;183.392;0.1;180;0.05;0.234247
2.51343;-3.25775;183.258;0.1;180;0.05;0.24528
2.63745;-3.11487;183.115;0.1;180;0.05;0.260086
2.76941;-2.95805;182.958;0.1;180;0.05;0.28239
2.89563;-2.80363;182.804;0.1;180;0.05;0.284641
3.0188;-2.64989;182.65;0.1;180;0.05;0.28679
3.14575;-2.48827;182.488;0.1;180;0.05;0.297203
3.28125;-2.31213;182.312;0.1;180;0.05;0.319965
3.40125;-2.1546;182.155;0.1;180;0.05;0.301137
3.52222;-1.99445;181.994;0.1;180;0.05;0.298931
3.63831;-1.83958;181.84;0.1;180;0.05;0.291585
3.75659;-1.68077;181.681;0.1;180;0.05;0.294796
3.87122;-1.52603;181.526;0.1;180;0.05;0.290623
3.98413;-1.37308;181.373;0.104111;180;0.05;0.287534
4.0957;-1.22156;181.222;0.127236;180;0.05;0.2849
4.20715;-1.0699;181.07;0.153516;180;0.05;0.285399
4.3186;-0.918228;180.918;0.177574;180;0.05;0.283673
4.43152;-0.76442;180.764;0.205748;180;0.05;0.2857
4.54358;-0.611984;180.612;0.231788;180;0.05;0.285825
4.65564;-0.459869;180.46;0.256351;180;0.05;0.284529
4.77869;-0.293091;180.293;0.305718;180;0.05;0.305543
4.90271;-0.125427;180.125;0.340331;180;0.05;0.311654
5.01758;0.0291901;179.971;0.351084;180;0.05;0.296122
5.13855;0.191223;179.809;0.383424;180;0.0513334;0.299583
5.25757;0.349869;179.65;0.410014;180;0.0545546;0.295982
5.40161;0.541672;179.458;0.488141;180;0.0609744;0.335083
5.55237;0.741867;179.258;0.611611;180;0.0706495;0.414844
5.65466;0.875031;179.125;0.665382;180;0.0789195;0.437707
5.76794;1.01929;178.981;0.586737;180;0.0896508;0.323808
5.87952;1.15852;178.841;0.578162;180;0.101802;0.27941
5.99255;1.29552;178.704;0.600582;180;0.115677;0.264667
6.11072;1.43304;178.567;0.633817;180;0.131803;0.258396
6.2301;1.56435;178.436;0.664724;180;0.149701;0.249084
6.34656;1.68445;178.316;0.687245;180;0.168624;0.232264
6.46399;1.79587;178.204;0.71003;180;0.189066;0.215667
6.57776;1.89371;178.106;0.723743;180;0.210061;0.191752
6.69031;1.98006;178.02;0.738429;180;0.231868;0.169951
6.80701;2.05734;177.943;0.75854;180;0.255435;0.153357
6.91882;2.11888;177.881;0.76491;180;0.278792;0.125908
7.03552;2.16939;177.831;0.765;180;0.303825;0.104643
7.14929;2.20451;177.795;0.765;180;0.328716;0.0770649
7.26062;2.22485;177.775;0.765;180;0.353381;0.0487102
7.37268;2.23109;177.769;0.765;180;0.378358;0.0219039
7.48816;2.22232;177.778;0.765;180;0.404083;-0.00550616
7.60632;2.19754;177.802;0.765;180;0.430208;-0.0342852
7.72546;2.15686;177.843;0.759106;180;0.456159;-0.0637197
7.84778;2.09923;177.901;0.744559;180;0.4822;-0.0945095
7.95935;2.03337;177.967;0.734963;180;0.505263;-0.115973
8.07922;1.94942;178.051;0.715432;180;0.529144;-0.145113
8.19861;1.8533;178.147;0.697199;180;0.551852;-0.169714
8.31604;1.74802;178.252;0.663644;180;0.555;-0.188519
8.43665;1.63049;178.37;0.622103;180;0.555;-0.21008
8.55505;1.50725;178.493;0.58653;180;0.555;-0.224703
8.67883;1.3725;178.628;0.543565;180;0.555;-0.244759
8.80115;1.23518;178.765;0.510855;180;0.555;-0.254127
8.91785;1.10304;178.897;0.492872;180;0.555;-0.249646
9.03162;0.975052;179.025;0.477095;180;0.555;-0.243664
9.14514;0.850128;179.15;0.462901;180;0.555;-0.23662
9.2594;0.729004;179.271;0.448689;180;0.555;-0.230242
9.37244;0.615479;179.385;0.441898;180;0.555;-0.217733
9.49011;0.505493;179.495;0.43099;180;0.555;-0.209944
9.60535;0.407288;179.593;0.432505;180;0.555;-0.191734
9.72009;0.319717;179.68;0.437343;180;0.555;-0.172009
9.83679;0.241821;179.758;0.442678;180;0.555;-0.153432
9.95105;0.176788;179.823;0.454312;180;0.555;-0.130742
10.0653;0.123169;179.877;0.466972;180;0.555;-0.108967
10.1903;0.0773926;179.923;0.476445;180;0.555;-0.0917121
10.3094;0.0460205;179.954;0.494165;180;0.555;-0.0686589
10.4308;0.0257568;179.974;0.511885;180;0.555;-0.0474933
10.5536;0.0163269;179.984;0.530964;180;0.555;-0.0268113
10.6688;0.0166473;179.983;0.550421;180;0.555;-0.00740938
10.7836;0.0248718;179.975;0.568041;180;0.555;0.00881268
10.9034;0.0406189;179.959;0.584983;180;0.555;0.0230781
11.0206;0.0619659;179.938;0.60042;180;0.555;0.0348856
11.1381;0.0878601;179.912;0.614289;180;0.555;0.0443524
11.2577;0.117615;179.882;0.627182;180;0.555;0.0521874
