Airframe: C90B
Kp: 0.4
Ki: 0
Kd: 0
tau: 0.025
limMin: 0.25
limMax: 0.765
intLimMin: 0.25
intLimMax: 0.5
holdSpeed: 180
T: 0.05
setpoint: 180
t;error;speed;out;setpoint
0.156616;27.4746;152.525;0.765;180
0.27124;27.5101;152.49;0.765;180
0.408081;27.5504;152.45;0.765;180
0.526001;27.5804;152.42;0.765;180
0.63208;27.602;152.398;0.765;180
0.744629;27.6172;152.383;0.765;180
0.849609;27.6227;152.377;0.765;180
0.957031;27.6184;152.382;0.765;180
1.05847;27.6041;152.396;0.765;180
1.16614;27.5774;152.423;0.765;180
1.27954;27.536;152.464;0.765;180
1.3938;27.4801;152.52;0.765;180
1.49548;27.4185;152.581;0.765;180
1.60547;27.3397;152.66;0.765;180
1.70618;27.2566;152.743;0.765;180
1.80737;27.1628;152.837;0.765;180
1.91199;27.0558;152.944;0.765;180
2.02368;26.931;153.069;0.765;180
2.12415;26.81;153.19;0.765;180
2.22681;26.6786;153.321;0.765;180
2.3313;26.5373;153.463;0.765;180
2.44409;26.3772;153.623;0.765;180
2.55261;26.2164;153.784;0.765;180
2.65918;26.0532;153.947;0.765;180
2.76819;25.881;154.119;0.765;180
2.87183;25.7131;154.287;0.765;180
2.97693;25.5396;154.46;0.765;180
3.07751;25.3705;154.629;0.765;180
3.18396;25.1894;154.811;0.765;180
3.29907;24.9911;155.009;0.765;180
3.45117;24.7265;155.274;0.765;180
3.56018;24.5354;155.465;0.765;180
3.66748;24.3466;155.653;0.765;180
3.78223;24.1443;155.856;0.765;180
3.88892;23.9562;156.044;0.765;180
3.99731;23.7655;156.235;0.765;180
4.10474;23.577;156.423;0.765;180
4.21118;23.3904;156.61;0.765;180
4.31775;23.2047;156.795;0.765;180
4.42139;23.025;156.975;0.765;180
4.52258;22.8506;157.149;0.765;180
4.63354;22.6602;157.34;0.765;180
4.74951;22.4629;157.537;0.765;180
4.85645;22.2826;157.717;0.765;180
4.96497;22.1009;157.899;0.765;180
5.08032;21.9097;158.09;0.765;180
5.18774;21.7336;158.266;0.765;180
5.29504;21.5594;158.441;0.765;180
5.40417;21.3838;158.616;0.765;180
5.50439;21.2243;158.776;0.765;180
5.60474;21.0662;158.934;0.765;180
5.71338;20.8965;159.104;0.765;180
5.82031;20.731;159.269;0.765;180
5.92822;20.5658;159.434;0.765;180
6.03223;20.4081;159.592;0.765;180
6.13977;20.2466;159.753;0.765;180
6.24731;20.0868;159.913;0.765;180
6.35437;19.9291;160.071;0.765;180
6.46216;19.7715;160.229;0.765;180
6.56299;19.6255;160.374;0.765;180
6.67261;19.4683;160.532;0.765;180
6.78015;19.3151;160.685;0.765;180
6.88806;19.1628;160.837;0.765;180
6.99365;19.0147;160.985;0.765;180
7.10181;18.8643;161.136;0.765;180
7.20898;18.7162;161.284;0.765;180
7.31763;18.5671;161.433;0.765;180
7.42224;18.4244;161.576;0.765;180
7.52942;18.2791;161.721;0.765;180
7.63733;18.1336;161.866;0.765;180
7.73767;17.9991;162.001;0.765;180
7.83789;17.8652;162.135;0.765;180
7.9469;17.7202;162.28;0.765;180
8.04785;17.5865;162.414;0.765;180
8.16345;17.4336;162.566;0.765;180
8.26355;17.3019;162.698;0.765;180
8.41687;17.1006;162.899;0.765;180
8.51868;16.9674;163.033;0.765;180
8.61987;16.8351;163.165;0.765;180
8.73413;16.686;163.314;0.765;180
8.83911;16.5491;163.451;0.765;180
8.94507;16.4112;163.589;0.765;180
9.05579;16.2673;163.733;0.765;180
9.17065;16.118;163.882;0.765;180
9.27795;15.9787;164.021;0.765;180
9.38574;15.839;164.161;0.765;180
9.49475;15.6976;164.302;0.765;180
9.60193;15.5585;164.441;0.765;180
9.71741;15.409;164.591;0.765;180
9.83191;15.2606;164.739;0.765;180
9.93958;15.1208;164.879;0.765;180
10.0498;14.9777;165.022;0.765;180
10.165;14.8279;165.172;0.765;180
10.2725;14.6881;165.312;0.765;180
10.3793;14.5487;165.451;0.765;180
10.4856;14.4095;165.591;0.765;180
10.5935;14.268;165.732;0.765;180
10.7079;14.1175;165.883;0.765;180
10.8109;13.9814;166.019;0.765;180
10.9163;13.8418;166.158;0.765;180
11.0275;13.6937;166.306;0.765;180
11.1436;13.5384;166.462;0.765;180
11.2585;13.3839;166.616;0.765;180
11.3628;13.2428;166.757;0.765;180
11.4698;13.0973;166.903;0.765;180
11.578;12.9496;167.05;0.765;180
11.6786;12.8115;167.188;0.765;180
11.7821;12.6687;167.331;0.765;180
11.8862;12.5242;167.476;0.765;180
11.9901;12.3792;167.621;0.765;180
12.1053;12.2174;167.783;0.765;180
12.2129;12.0654;167.935;0.765;180
12.3278;11.9021;168.098;0.765;180
12.4353;11.7482;168.252;0.765;180
12.5374;11.6013;168.399;0.765;180
12.6375;11.4564;168.544;0.765;180
12.7498;11.293;168.707;0.765;180
12.8561;11.1372;168.863;0.765;180
12.9578;10.9876;169.012;0.765;180
13.0728;10.8174;169.183;0.765;180
13.2295;10.5841;169.416;0.765;180
13.3328;10.4293;169.571;0.765;180
13.4382;10.2703;169.73;0.765;180
13.5449;10.1089;169.891;0.765;180
13.6465;9.95441;170.046;0.765;180
13.7538;9.79065;170.209;0.765;180
13.8685;9.61485;170.385;0.765;180
13.9786;9.44534;170.555;0.765;180
14.0884;9.27579;170.724;0.765;180
14.1929;9.11371;170.886;0.765;180
14.2965;8.95253;171.047;0.765;180
14.4005;8.79028;171.21;0.765;180
14.5062;8.62476;171.375;0.765;180
14.6122;8.45831;171.542;0.765;180
14.7198;8.28886;171.711;0.765;180
14.8322;8.11148;171.889;0.765;180
14.9395;7.94173;172.058;0.765;180
15.0486;7.76859;172.231;0.765;180
15.1492;7.60875;172.391;0.765;180
15.2644;7.4249;172.575;0.765;180
15.3707;7.25522;172.745;0.765;180
15.4747;7.08882;172.911;0.765;180
15.5829;6.91551;173.084;0.765;180
15.7323;6.67572;173.324;0.765;180
15.8845;6.43082;173.569;0.765;180
15.9893;6.26231;173.738;0.765;180
16.0967;6.08913;173.911;0.765;180
16.2112;5.90411;174.096;0.765;180
16.319;5.72993;174.27;0.765;180
16.4263;5.55652;174.443;0.765;180
16.5411;5.37067;174.629;0.765;180
16.6486;5.19678;174.803;0.765;180
16.7523;5.02892;174.971;0.765;180
16.8596;4.85512;175.145;0.765;180
16.9698;4.67668;175.323;0.765;180
17.0773;4.50279;175.497;0.765;180
17.1852;4.32837;175.672;0.765;180
17.2891;4.16028;175.84;0.765;180
17.3925;3.99281;176.007;0.765;180
17.4982;3.82188;176.178;0.765;180
17.6135;3.63583;176.364;0.765;180
17.7227;3.45981;176.54;0.765;180
17.8304;3.28625;176.714;0.765;180
17.9376;3.11366;176.886;0.765;180
18.0471;2.93776;177.062;0.765;180
18.2037;2.68639;177.314;0.765;180
18.3112;2.51421;177.486;0.765;180
18.4705;2.25929;177.741;0.765;180
18.5742;2.09357;177.906;0.765;180
18.6774;1.92912;178.071;0.765;180
18.7847;1.75851;178.241;0.765;180
18.8929;1.58655;178.413;0.765;180
18.9946;1.42548;178.575;0.765;180
19.1031;1.25385;178.746;0.751538;180
19.2607;1.0054;178.995;0.652161;180
19.3647;0.842026;179.158;0.58681;180
19.47;0.677399;179.323;0.520959;180
19.5773;0.511337;179.489;0.454535;180
19.6816;0.352051;179.648;0.39082;180
19.7854;0.197464;179.803;0.328986;180
19.889;0.0485687;179.951;0.269427;180
19.995;-0.0964813;180.096;0.25;180
20.0984;-0.229034;180.229;0.25;180
20.203;-0.352539;180.353;0.25;180
20.3065;-0.463104;180.463;0.25;180
20.4082;-0.559433;180.559;0.25;180
20.5146;-0.646362;180.646;0.25;180
20.6265;-0.722092;180.722;0.25;180
20.7544;-0.789169;180.789;0.25;180
20.8661;-0.830978;180.831;0.25;180
20.9714;-0.856354;180.856;0.25;180
21.0823;-0.869217;180.869;0.25;180
21.1924;-0.868561;180.869;0.25;180
21.3021;-0.85556;180.856;0.25;180
21.4119;-0.830902;180.831;0.25;180
21.5243;-0.794693;180.795;0.25;180
21.6349;-0.74913;180.749;0.25;180
21.7444;-0.695251;180.695;0.25;180
21.8534;-0.633743;180.634;0.25;180
21.9639;-0.564209;180.564;0.25;180
22.0734;-0.488693;180.489;0.25;180
22.1836;-0.40712;180.407;0.25;180
22.2936;-0.320557;180.321;0.25;180
22.4078;-0.225937;180.226;0.25;180
22.512;-0.136002;180.136;0.25;180
22.6196;-0.0398865;180.04;0.25;180
22.7317;0.0631714;179.937;0.275269;180
22.8389;0.164124;179.836;0.315649;180
22.9485;0.269592;179.73;0.357837;180
23.0594;0.378082;179.622;0.401233;180
23.1692;0.486893;179.513;0.444757;180
23.2775;0.595276;179.405;0.48811;180
23.3851;0.703751;179.296;0.5315;180
23.4963;0.815994;179.184;0.576398;180
23.6047;0.92482;179.075;0.619928;180
23.7139;1.0331;178.967;0.663239;180
23.8226;1.1387;178.861;0.705481;180
23.9313;1.24075;178.759;0.746301;180
24.0353;1.33354;178.666;0.765;180
24.1449;1.42445;178.576;0.765;180
24.2549;1.50687;178.493;0.765;180
24.3622;1.57721;178.423;0.765;180
24.4698;1.63637;178.364;0.765;180
24.5824;1.68497;178.315;0.765;180
24.6881;1.7173;178.283;0.765;180
24.7948;1.73615;178.264;0.765;180
24.9033;1.74113;178.259;0.765;180
25.0145;1.73102;178.269;0.765;180
25.1228;1.70665;178.293;0.765;180
25.2278;1.66946;178.331;0.765;180
25.3364;1.61754;178.382;0.765;180
25.4454;1.55222;178.448;0.765;180
25.5574;1.47224;178.528;0.765;180
25.668;1.38123;178.619;0.765;180
25.7765;1.28099;178.719;0.762396;180
25.886;1.16974;178.83;0.717896;180
25.9966;1.04816;178.952;0.669263;180
26.1055;0.920181;179.08;0.618073;180
26.2136;0.786346;179.214;0.564539;180
26.3218;0.647095;179.353;0.508838;180
26.4297;0.504517;179.495;0.451807;180
26.5387;0.358566;179.641;0.393427;180
26.6489;0.211456;179.789;0.334583;180
26.7638;0.061264;179.939;0.274506;180
26.8737;-0.0772552;180.077;0.25;180
26.9847;-0.209457;180.209;0.25;180
27.0939;-0.329926;180.33;0.25;180
27.2043;-0.440475;180.44;0.25;180
27.3123;-0.536179;180.536;0.25;180
27.4218;-0.620331;180.62;0.25;180
27.5345;-0.692612;180.693;0.25;180
27.6421;-0.747726;180.748;0.25;180
27.7501;-0.789902;180.79;0.25;180
27.8579;-0.818756;180.819;0.25;180
27.9667;-0.835159;180.835;0.25;180
28.0773;-0.839539;180.84;0.25;180
28.1852;-0.83226;180.832;0.25;180
28.2944;-0.814148;180.814;0.25;180
28.4011;-0.786728;180.787;0.25;180
28.5035;-0.751862;180.752;0.25;180
28.6104;-0.707428;180.707;0.25;180
28.7264;-0.65033;180.65;0.25;180
28.8342;-0.589951;180.59;0.25;180
28.9413;-0.523514;180.524;0.25;180
29.0526;-0.448257;180.448;0.25;180
29.161;-0.36969;180.37;0.25;180
29.269;-0.286316;180.286;0.25;180
29.3765;-0.199112;180.199;0.25;180
29.4857;-0.10643;180.106;0.25;180
29.5955;-0.00956726;180.01;0.25;180
29.7018;0.0873718;179.913;0.284949;180
29.8101;0.188934;179.811;0.325574;180
29.9183;0.292923;179.707;0.367169;180
30.0299;0.402649;179.597;0.41106;180
30.136;0.509003;179.491;0.453601;180
30.2446;0.619568;179.38;0.497827;180
30.3539;0.732193;179.268;0.542877;180
30.4669;0.849609;179.15;0.589844;180
30.5728;0.959747;179.04;0.633899;180
30.6814;1.07204;178.928;0.678815;180
30.7878;1.18047;178.82;0.722186;180
30.8944;1.2859;178.714;0.764362;180
31.0027;1.38847;178.612;0.765;180
31.1113;1.48468;178.515;0.765;180
31.218;1.57126;178.429;0.765;180
31.3219;1.6465;178.354;0.765;180
31.4287;1.7133;178.287;0.765;180
31.5388;1.76968;178.23;0.765;180
31.6516;1.81386;178.186;0.765;180
31.7594;1.84216;178.158;0.765;180
31.8682;1.85698;178.143;0.765;180
31.9773;1.85762;178.142;0.765;180
32.0867;1.84448;178.156;0.765;180
32.1941;1.81836;178.182;0.765;180
32.3041;1.77855;178.221;0.765;180
32.413;1.72667;178.273;0.765;180
32.5165;1.66663;178.333;0.765;180
32.6235;1.59415;178.406;0.765;180
32.7345;1.50865;178.491;0.765;180
32.8439;1.4151;178.585;0.765;180
32.9531;1.31319;178.687;0.765;180
33.0643;1.2018;178.798;0.730719;180
33.174;1.08505;178.915;0.684021;180
33.2871;0.958405;179.042;0.633362;180
33.4021;0.824478;179.176;0.579791;180
33.5029;0.703812;179.296;0.531525;180
33.6102;0.573654;179.426;0.479462;180
33.7205;0.439774;179.56;0.425909;180
33.8293;0.309128;179.691;0.373651;180
33.9396;0.180664;179.819;0.322266;180
34.0487;0.0592346;179.941;0.273694;180
34.1587;-0.0544891;180.054;0.25;180
34.2667;-0.156189;180.156;0.25;180
34.3715;-0.24379;180.244;0.25;180
34.4805;-0.322189;180.322;0.25;180
34.5874;-0.385757;180.386;0.25;180
34.6953;-0.435867;180.436;0.25;180
34.8019;-0.471344;180.471;0.25;180
34.9119;-0.493057;180.493;0.25;180
35.0208;-0.500137;180.5;0.25;180
35.1296;-0.493622;180.494;0.25;180
35.2382;-0.473953;180.474;0.25;180
35.3463;-0.441895;180.442;0.25;180
35.4539;-0.398453;180.398;0.25;180
35.5653;-0.342178;180.342;0.25;180
35.6727;-0.277893;180.278;0.25;180
35.7865;-0.199738;180.2;0.25;180
35.8973;-0.114548;180.115;0.25;180
36.0083;-0.0210419;180.021;0.25;180
36.1166;0.0772247;179.923;0.28089;180
36.2228;0.179642;179.82;0.321857;180
36.3308;0.289673;179.71;0.365869;180
36.439;0.404999;179.595;0.412;180
36.549;0.527237;179.473;0.460895;180
36.6532;0.646835;179.353;0.508734;180
36.7573;0.769287;179.231;0.557715;180
36.8661;0.899948;179.1;0.609979;180
36.9736;1.03104;178.969;0.662415;180
37.083;1.16499;178.835;0.715997;180
37.194;1.30003;178.7;0.765;180
37.3013;1.42873;178.571;0.765;180
37.4087;1.55325;178.447;0.765;180
37.5121;1.66736;178.333;0.765;180
37.6188;1.77724;178.223;0.765;180
37.7273;1.87895;178.121;0.765;180
37.8364;1.96976;178.03;0.765;180
37.9465;2.04848;177.952;0.765;180
38.0586;2.11456;177.885;0.765;180
38.1686;2.16499;177.835;0.765;180
38.2766;2.20033;177.8;0.765;180
38.385;2.22176;177.778;0.765;180
38.4958;2.22934;177.771;0.765;180
38.6028;2.22343;177.777;0.765;180
38.7115;2.20474;177.795;0.765;180
38.8231;2.17273;177.827;0.765;180
38.9363;2.12804;177.872;0.765;180
39.0472;2.07286;177.927;0.765;180
39.1559;2.00896;177.991;0.765;180
39.2646;1.93588;178.064;0.765;180
39.3741;1.854;178.146;0.765;180
39.4849;1.76372;178.236;0.765;180
39.5957;1.66624;178.334;0.765;180
39.7018;1.56735;178.433;0.765;180
39.8167;1.45468;178.545;0.765;180
39.9231;1.34583;178.654;0.765;180
40.0333;1.22917;178.771;0.741669;180
40.1418;1.11089;178.889;0.694354;180
40.2509;0.98912;179.011;0.645648;180
40.3604;0.865021;179.135;0.596008;180
40.469;0.740524;179.259;0.54621;180
40.5806;0.612854;179.387;0.495142;180
40.6874;0.491898;179.508;0.446759;180
40.7982;0.369354;179.631;0.397742;180
40.8986;0.262955;179.737;0.355182;180
41.0106;0.150818;179.849;0.310327;180
41.1207;0.0496826;179.95;0.269873;180
41.2324;-0.042099;180.042;0.25;180
41.3481;-0.123749;180.124;0.25;180
41.4559;-0.186249;180.186;0.25;180
41.5615;-0.234085;180.234;0.25;180
41.6708;-0.269028;180.269;0.25;180
41.7833;-0.289474;180.289;0.25;180
41.8914;-0.294388;180.294;0.25;180
42.0052;-0.284073;180.284;0.25;180
42.111;-0.260986;180.261;0.25;180
42.2183;-0.224701;180.225;0.25;180
42.3276;-0.175354;180.175;0.25;180
42.4366;-0.114456;180.114;0.25;180
42.5464;-0.0422211;180.042;0.25;180
42.6517;0.0369263;179.963;0.264771;180
42.7578;0.125153;179.875;0.300061;180
42.8632;0.220612;179.779;0.338245;180
42.9705;0.325043;179.675;0.380017;180
43.0795;0.43782;179.562;0.425128;180
43.1869;0.55513;179.445;0.472052;180
43.2988;0.682617;179.317;0.523047;180
43.4137;0.818085;179.182;0.577234;180
43.5253;0.953339;179.047;0.631335;180
43.6329;1.08578;178.914;0.684314;180
43.7397;1.21808;178.782;0.737231;180
43.847;1.35004;178.65;0.765;180
43.9561;1.48181;178.518;0.765;180
44.0656;1.60954;178.39;0.765;180
44.1719;1.72678;178.273;0.765;180
44.2795;1.83678;178.163;0.765;180
44.385;1.93419;178.066;0.765;180
44.4937;2.02255;177.977;0.765;180
44.6;2.09628;177.904;0.765;180
44.7074;2.15724;177.843;0.765;180
44.8143;2.20386;177.796;0.765;180
44.9237;2.23727;177.763;0.765;180
45.0359;2.25627;177.744;0.765;180
45.1509;2.26007;177.74;0.765;180
45.2655;2.24843;177.752;0.765;180
45.3666;2.22612;177.774;0.765;180
45.4722;2.19125;177.809;0.765;180
45.5752;2.14659;177.853;0.765;180
45.6761;2.09323;177.907;0.765;180
45.7924;2.02107;177.979;0.765;180
45.8929;1.94978;178.05;0.765;180
45.9955;1.86945;178.131;0.765;180
46.0959;1.78397;178.216;0.765;180
46.2025;1.68649;178.314;0.765;180
46.3083;1.58354;178.416;0.765;180
46.4138;1.47557;178.524;0.765;180
46.5178;1.3643;178.636;0.765;180
46.6223;1.24825;178.752;0.749298;180
46.7271;1.1281;178.872;0.701239;180
46.8333;1.0031;178.997;0.651239;180
46.9403;0.874466;179.126;0.599786;180
47.0424;0.749924;179.25;0.549969;180
47.15;0.617783;179.382;0.497113;180
47.2513;0.493927;179.506;0.447571;180
47.3594;0.363617;179.636;0.395447;180
47.4696;0.234619;179.765;0.343848;180
47.5806;0.110794;179.889;0.294318;180
47.6824;0.00431824;179.996;0.251727;180
47.7875;-0.0966644;180.097;0.25;180
47.8909;-0.185959;180.186;0.25;180
47.9957;-0.264969;180.265;0.25;180
48.0981;-0.330032;180.33;0.25;180
48.2015;-0.383011;180.383;0.25;180
48.3049;-0.423035;180.423;0.25;180
48.4055;-0.449402;180.449;0.25;180
48.5126;-0.464172;180.464;0.25;180
48.6694;-0.461731;180.462;0.25;180
48.7747;-0.444992;180.445;0.25;180
48.8748;-0.41832;180.418;0.25;180
48.9824;-0.378876;180.379;0.25;180
49.0928;-0.32753;180.328;0.25;180
49.2042;-0.265335;180.265;0.25;180
49.3136;-0.195145;180.195;0.25;180
49.4204;-0.118515;180.119;0.25;180
49.5323;-0.0306244;180.031;0.25;180
49.6469;0.0669861;179.933;0.276794;180
49.7478;0.15831;179.842;0.313324;180
49.8574;0.262665;179.737;0.355066;180
49.9706;0.375626;179.624;0.40025;180
50.073;0.481766;179.518;0.442706;180
50.1743;0.58989;179.41;0.485956;180
50.275;0.700012;179.3;0.530005;180
50.3867;0.824509;179.175;0.579803;180
50.4949;0.946533;179.053;0.628613;180
50.5963;1.06169;178.938;0.674677;180
50.7026;1.18159;178.818;0.722638;180
50.8094;1.30045;178.7;0.765;180
50.9594;1.46109;178.539;0.765;180
51.0664;1.5687;178.431;0.765;180
51.1775;1.6718;178.328;0.765;180
51.2842;1.76089;178.239;0.765;180
51.3868;1.83607;178.164;0.765;180
