Airframe: C90B
Kp: 0.225
Ki: 0.139958
Kd: 0
tau: 0.025
limMin: 0.25
limMax: 0.765
intLimMin: 0.25
intLimMax: 0.5
holdSpeed: 180
T: 0.05
setpoint: 180
t;error;speed;out;setpoint
0.159668;22.6062;157.394;0.765;180
0.260986;22.6492;157.351;0.765;180
0.369385;22.6941;157.306;0.765;180
0.479736;22.737;157.263;0.765;180
0.587646;22.7743;157.226;0.765;180
0.702393;22.807;157.193;0.765;180
0.813965;22.83;157.17;0.765;180
0.927734;22.843;157.157;0.765;180
1.02881;22.8447;157.155;0.765;180
1.13672;22.835;157.165;0.765;180
1.23755;22.8152;157.185;0.765;180
1.34521;22.7819;157.218;0.765;180
1.45801;22.7336;157.266;0.765;180
1.56299;22.6765;157.324;0.765;180
1.66748;22.6082;157.392;0.765;180
1.77515;22.5265;157.474;0.765;180
1.88403;22.4329;157.567;0.765;180
1.99512;22.3261;157.674;0.765;180
2.10156;22.2143;157.786;0.765;180
2.25928;22.0327;157.967;0.765;180
2.36035;21.9076;158.092;0.765;180
2.46362;21.7734;158.227;0.765;180
2.61572;21.5651;158.435;0.765;180
2.72388;21.4107;158.589;0.765;180
2.88086;21.1783;158.822;0.765;180
2.9812;21.0253;158.975;0.765;180
3.08618;20.8626;159.137;0.765;180
3.19189;20.6963;159.304;0.765;180
3.29663;20.5295;159.471;0.765;180
3.40527;20.3543;159.646;0.765;180
3.51611;20.1747;159.825;0.765;180
3.62744;19.9935;160.006;0.765;180
3.73413;19.8191;160.181;0.765;180
3.84326;19.6404;160.36;0.765;180
3.94775;19.4695;160.53;0.765;180
4.05103;19.3009;160.699;0.765;180
4.16064;19.1222;160.878;0.765;180
4.27441;18.9376;161.062;0.765;180
4.38818;18.7537;161.246;0.765;180
4.49072;18.5889;161.411;0.765;180
4.5918;18.4277;161.572;0.765;180
4.69922;18.2568;161.743;0.765;180
4.8064;18.0882;161.912;0.765;180
4.9209;17.9094;162.091;0.765;180
5.07056;17.6777;162.322;0.765;180
5.18286;17.5059;162.494;0.765;180
5.29565;17.3347;162.665;0.765;180
5.40283;17.174;162.826;0.765;180
5.51025;17.0142;162.986;0.765;180
5.61768;16.8557;163.144;0.765;180
5.71899;16.7078;163.292;0.765;180
5.82178;16.5591;163.441;0.765;180
5.92432;16.4125;163.587;0.765;180
