Airframe: Cessna_CitationX
Kp: 0.25
Ki: 0.05
Kd: 0.1
tau: 0.008
limMin: 0.15
limMax: 0.9
intLimMin: 0.05
intLimMax: 0.7
holdSpeed: 240
T: 0.05
setpoint: 240
t;error;speed;out;setpoint;Int;Diff
0.162598;37.0506;202.949;0.15;240;0.248968;-164.767
0.274475;37.2397;202.76;0.15;240;0.456754;-50.3184
0.384521;37.4226;202.577;0.15;240;0.662163;-14.7548
0.494812;37.603;202.397;0.9;240;0.7;-4.07349
0.601379;37.7748;202.225;0.9;240;0.7;-0.798545
0.709961;37.9478;202.052;0.9;240;0.7;0.139484
0.816345;38.1151;201.885;0.9;240;0.7;0.412074
0.922729;38.2807;201.719;0.9;240;0.7;0.487037
1.03076;38.4474;201.553;0.9;240;0.7;0.513083
1.13959;38.6138;201.386;0.9;240;0.7;0.516953
1.24585;38.7748;201.225;0.9;240;0.7;0.506614
1.35168;38.934;201.066;0.9;240;0.7;0.49995
1.46442;39.1021;200.898;0.9;240;0.7;0.517154
1.57471;39.2649;200.735;0.9;240;0.7;0.507724
1.68542;39.4266;200.573;0.9;240;0.7;0.506813
1.79486;39.5845;200.416;0.9;240;0.7;0.496301
1.90393;39.7399;200.26;0.9;240;0.7;0.489622
2.0188;39.9012;200.099;0.9;240;0.7;0.490033
2.12769;40.0514;199.949;0.9;240;0.7;0.475034
2.23596;40.1982;199.802;0.9;240;0.7;0.46327
2.34216;40.3391;199.661;0.9;240;0.7;0.445963
2.44843;40.477;199.523;0.9;240;0.7;0.434167
2.55518;40.612;199.388;0.9;240;0.7;0.42475
2.66449;40.7464;199.254;0.9;240;0.7;0.420636
2.77899;40.8825;199.117;0.9;240;0.7;0.422502
2.8891;41.0085;198.992;0.9;240;0.7;0.399447
3.00189;41.132;198.868;0.9;240;0.7;0.390803
3.11499;41.25;198.75;0.9;240;0.7;0.374146
3.22833;41.3617;198.638;0.9;240;0.7;0.356722
3.3446;41.4691;198.531;0.9;240;0.7;0.34146
3.45752;41.5659;198.434;0.9;240;0.7;0.313991
3.57166;41.6557;198.344;0.9;240;0.7;0.291121
3.68488;41.7362;198.264;0.9;240;0.7;0.262701
3.80316;41.8108;198.189;0.9;240;0.7;0.239013
3.91461;41.8715;198.128;0.9;240;0.7;0.202292
4.03015;41.9242;198.076;0.9;240;0.7;0.172031
4.15613;41.9689;198.031;0.9;240;0.7;0.146974
4.27753;41.9989;198.001;0.9;240;0.7;0.110085
4.39532;42.0153;197.985;0.9;240;0.7;0.0685901
4.51044;42.0184;197.982;0.9;240;0.7;0.0264174
4.62933;42.0078;197.992;0.9;240;0.7;-0.0155181
4.74615;41.9833;198.017;0.9;240;0.7;-0.0587442
4.86371;41.9442;198.056;0.9;240;0.7;-0.103707
4.98309;41.8895;198.11;0.9;240;0.7;-0.150391
5.09521;41.8244;198.176;0.9;240;0.7;-0.190634
5.21442;41.7407;198.259;0.9;240;0.7;-0.239102
5.3255;41.6497;198.35;0.9;240;0.7;-0.272641
5.43927;41.5435;198.456;0.9;240;0.7;-0.316168
5.55646;41.4212;198.579;0.9;240;0.7;-0.362878
5.67346;41.2865;198.714;0.9;240;0.7;-0.403384
5.79468;41.1341;198.866;0.9;240;0.7;-0.453222
5.91876;40.9656;199.034;0.9;240;0.7;-0.504117
6.0351;40.7966;199.203;0.9;240;0.7;-0.527924
6.16565;40.5954;199.405;0.9;240;0.7;-0.593642
6.27972;40.4104;199.59;0.9;240;0.7;-0.591406
6.41144;40.1866;199.813;0.9;240;0.7;-0.660783
6.52936;39.9779;200.022;0.9;240;0.7;-0.663787
6.63348;39.7876;200.212;0.9;240;0.7;-0.617246
6.73682;39.5938;200.406;0.9;240;0.7;-0.609773
6.85083;39.3742;200.626;0.9;240;0.7;-0.655919
6.96185;39.1557;200.844;0.9;240;0.7;-0.677487
7.06964;38.9393;201.061;0.9;240;0.7;-0.672675
7.17914;38.7157;201.284;0.9;240;0.7;-0.692082
7.28967;38.4864;201.514;0.9;240;0.7;-0.714933
7.39972;38.255;201.745;0.9;240;0.7;-0.72496
7.5127;38.0146;201.985;0.9;240;0.7;-0.741134
7.62378;37.7755;202.224;0.9;240;0.7;-0.744899
7.73724;37.5292;202.471;0.9;240;0.7;-0.761088
7.85114;37.2799;202.72;0.9;240;0.7;-0.775847
7.96948;37.0188;202.981;0.9;240;0.7;-0.809443
8.07947;36.7751;203.225;0.9;240;0.7;-0.765157
8.18665;36.5367;203.463;0.9;240;0.7;-0.745826
8.29395;36.2969;203.703;0.9;240;0.7;-0.74839
8.40015;36.0587;203.941;0.9;240;0.7;-0.745342
8.50684;35.8189;204.181;0.9;240;0.7;-0.746924
8.61523;35.5748;204.425;0.9;240;0.7;-0.754884
8.72168;35.3346;204.665;0.9;240;0.7;-0.752439
8.82843;35.0934;204.907;0.9;240;0.7;-0.751844
8.93726;34.8475;205.152;0.9;240;0.7;-0.763483
9.0448;34.6043;205.396;0.9;240;0.7;-0.763813
9.15204;34.3618;205.638;0.9;240;0.7;-0.762985
9.25916;34.1199;205.88;0.9;240;0.7;-0.759953
9.36646;33.8776;206.122;0.9;240;0.7;-0.759884
9.47168;33.6402;206.36;0.9;240;0.7;-0.745037
9.57812;33.4006;206.599;0.9;240;0.7;-0.748504
9.68445;33.1612;206.839;0.9;240;0.7;-0.751355
9.78894;32.9267;207.073;0.9;240;0.7;-0.736837
9.89526;32.6884;207.312;0.9;240;0.7;-0.744169
10.0104;32.4306;207.569;0.9;240;0.7;-0.788294
10.1204;32.1849;207.815;0.9;240;0.7;-0.770236
10.2276;31.9461;208.054;0.9;240;0.7;-0.750708
10.3359;31.7053;208.295;0.9;240;0.7;-0.754134
10.4421;31.4699;208.53;0.9;240;0.7;-0.738817
10.5486;31.2341;208.766;0.9;240;0.7;-0.73639
10.6536;31.0023;208.998;0.9;240;0.7;-0.72571
10.7622;30.7631;209.237;0.9;240;0.7;-0.738515
10.8713;30.5233;209.477;0.9;240;0.7;-0.740937
10.983;30.2786;209.721;0.9;240;0.7;-0.754526
11.0985;30.0258;209.974;0.9;240;0.7;-0.782488
11.2128;29.7768;210.223;0.9;240;0.7;-0.772878
11.3215;29.5403;210.46;0.9;240;0.7;-0.745136
11.427;29.3115;210.689;0.9;240;0.7;-0.720591
11.5358;29.076;210.924;0.9;240;0.7;-0.732614
11.6467;28.8367;211.163;0.9;240;0.7;-0.741925
11.7594;28.594;211.406;0.9;240;0.7;-0.753876
11.8705;28.3552;211.645;0.9;240;0.7;-0.743846
11.9813;28.1179;211.882;0.9;240;0.7;-0.740791
12.1355;27.7859;212.214;0.9;240;0.7;-0.888886
12.2839;27.4696;212.53;0.9;240;0.7;-0.945967
12.4057;27.2112;212.789;0.9;240;0.7;-0.833619
12.5188;26.9718;213.028;0.9;240;0.7;-0.774533
12.6388;26.7181;213.282;0.9;240;0.7;-0.783547
12.748;26.4881;213.512;0.9;240;0.7;-0.737883
12.8586;26.2551;213.745;0.9;240;0.7;-0.729069
12.9674;26.0266;213.973;0.9;240;0.7;-0.717287
13.076;25.7988;214.201;0.9;240;0.7;-0.714866
13.182;25.5768;214.423;0.9;240;0.7;-0.698574
13.2896;25.3519;214.648;0.9;240;0.7;-0.702949
13.3976;25.126;214.874;0.9;240;0.7;-0.707076
13.5063;24.8991;215.101;0.9;240;0.7;-0.711832
13.6222;24.6575;215.342;0.9;240;0.7;-0.742521
13.7333;24.4263;215.574;0.9;240;0.7;-0.72489
13.8427;24.1991;215.801;0.9;240;0.7;-0.713749
13.9492;23.9778;216.022;0.9;240;0.7;-0.701384
14.0586;23.7508;216.249;0.9;240;0.7;-0.712076
14.1647;23.5312;216.469;0.9;240;0.7;-0.693709
14.2946;23.2624;216.738;0.9;240;0.7;-0.782766
14.4137;23.0162;216.984;0.9;240;0.7;-0.771276
14.5308;22.7746;217.225;0.9;240;0.7;-0.75173
14.6401;22.5492;217.451;0.9;240;0.7;-0.720893
14.748;22.3268;217.673;0.9;240;0.7;-0.701495
14.8587;22.0987;217.901;0.9;240;0.7;-0.706034
14.9682;21.8731;218.127;0.9;240;0.7;-0.707371
15.0737;21.6558;218.344;0.9;240;0.7;-0.685956
15.1807;21.4355;218.565;0.9;240;0.7;-0.687579
15.2883;21.2139;218.786;0.9;240;0.7;-0.690714
15.3906;21.0036;218.996;0.9;240;0.7;-0.665316
15.4997;20.7791;219.221;0.9;240;0.7;-0.69144
15.605;20.5624;219.438;0.9;240;0.7;-0.679984
15.7092;20.348;219.652;0.9;240;0.7;-0.669847
15.8157;20.129;219.871;0.9;240;0.7;-0.680022
15.9223;19.9097;220.09;0.9;240;0.7;-0.680736
16.0295;19.6889;220.311;0.9;240;0.7;-0.683962
16.1435;19.4543;220.546;0.9;240;0.7;-0.702706
16.2495;19.2361;220.764;0.9;240;0.7;-0.689996
16.3558;19.0175;220.982;0.9;240;0.7;-0.685245
16.4641;18.7948;221.205;0.9;240;0.7;-0.695057
16.5719;18.5728;221.427;0.9;240;0.7;-0.693396
16.6822;18.3457;221.654;0.9;240;0.7;-0.704462
16.7906;18.1225;221.878;0.9;240;0.7;-0.701446
16.8987;17.9;222.1;0.9;240;0.7;-0.69542
17.0073;17.6761;222.324;0.9;240;0.7;-0.697647
17.118;17.4478;222.552;0.9;240;0.7;-0.710227
17.2325;17.2117;222.788;0.9;240;0.7;-0.730964
17.3522;16.9646;223.035;0.9;240;0.7;-0.759644
17.4636;16.7347;223.265;0.9;240;0.7;-0.729205
17.5751;16.5046;223.495;0.9;240;0.7;-0.72133
17.6863;16.2752;223.725;0.9;240;0.7;-0.719442
17.8016;16.0368;223.963;0.9;240;0.7;-0.736487
17.9207;15.7907;224.209;0.9;240;0.7;-0.75706
18.0377;15.5489;224.451;0.9;240;0.7;-0.754614
18.1549;15.3064;224.694;0.9;240;0.7;-0.755878
18.2694;15.0694;224.931;0.9;240;0.7;-0.744149
18.3831;14.8341;225.166;0.9;240;0.7;-0.741288
18.4958;14.6007;225.399;0.9;240;0.7;-0.733538
18.609;14.3662;225.634;0.9;240;0.7;-0.731018
18.7224;14.1312;225.869;0.9;240;0.7;-0.734783
18.8359;13.8958;226.104;0.9;240;0.7;-0.736124
18.9485;13.6622;226.338;0.9;240;0.7;-0.730746
19.0599;13.4308;226.569;0.9;240;0.7;-0.723436
19.1734;13.1953;226.805;0.9;240;0.7;-0.729217
19.2866;12.9601;227.04;0.9;240;0.7;-0.733937
19.401;12.7225;227.277;0.9;240;0.7;-0.733424
19.5128;12.4902;227.51;0.9;240;0.7;-0.727795
19.625;12.2569;227.743;0.9;240;0.7;-0.728633
19.7355;12.0271;227.973;0.9;240;0.7;-0.721232
19.8503;11.7881;228.212;0.9;240;0.7;-0.740673
19.9703;11.5382;228.462;0.9;240;0.7;-0.767307
20.0847;11.3;228.7;0.9;240;0.7;-0.745852
20.2025;11.0547;228.945;0.9;240;0.7;-0.753784
20.3123;10.826;229.174;0.9;240;0.7;-0.727209
20.4247;10.592;229.408;0.9;240;0.7;-0.73061
20.5359;10.3603;229.64;0.9;240;0.7;-0.724423
20.6462;10.1306;229.869;0.9;240;0.7;-0.719437
20.7581;9.89735;230.103;0.9;240;0.7;-0.726297
20.8687;9.66685;230.333;0.9;240;0.7;-0.723822
20.9771;9.44107;230.559;0.9;240;0.7;-0.711667
21.0858;9.21436;230.786;0.9;240;0.7;-0.707644
21.1954;8.9857;231.014;0.9;240;0.7;-0.712535
21.3112;8.74411;231.256;0.9;240;0.7;-0.743132
21.4283;8.49966;231.5;0.9;240;0.7;-0.758064
21.5492;8.24759;231.752;0.9;240;0.7;-0.772429
21.6638;8.00841;231.992;0.9;240;0.7;-0.753182
21.78;7.76617;232.234;0.9;240;0.7;-0.756766
21.8983;7.51961;232.48;0.9;240;0.7;-0.764416
22.0131;7.28035;232.72;0.9;240;0.7;-0.755568
22.1249;7.04718;232.953;0.9;240;0.7;-0.731299
22.2411;6.80518;233.195;0.9;240;0.7;-0.73704
22.3495;6.57932;233.421;0.9;240;0.7;-0.715748
22.4583;6.35274;233.647;0.9;240;0.7;-0.707973
22.5688;6.12248;233.878;0.9;240;0.7;-0.714728
22.6799;5.89153;234.108;0.9;240;0.7;-0.719504
22.7938;5.65428;234.346;0.9;240;0.7;-0.734923
22.9051;5.42299;234.577;0.9;240;0.7;-0.725807
23.019;5.1859;234.814;0.9;240;0.7;-0.735628
23.1302;4.95477;235.045;0.9;240;0.7;-0.728115
23.2405;4.72563;235.274;0.9;240;0.7;-0.717641
23.3506;4.49667;235.503;0.9;240;0.7;-0.715324
23.4617;4.26625;235.734;0.9;240;0.7;-0.720293
23.5715;4.03821;235.962;0.9;240;0.7;-0.714401
23.6862;3.80031;236.2;0.9;240;0.7;-0.735863
23.8017;3.56081;236.439;0.85031;240;0.7;-0.739892
23.9177;3.32033;236.68;0.783609;240;0.7;-0.746473
24.0312;3.08511;236.915;0.730684;240;0.7;-0.740595
24.1465;2.84683;237.153;0.666295;240;0.7;-0.745413
24.2629;2.60672;237.393;0.614411;240;0.7;-0.737269
24.3768;2.3739;237.626;0.564164;240;0.7;-0.729312
24.4902;2.14412;237.856;0.511174;240;0.7;-0.724856
24.6012;1.9225;238.077;0.478027;240;0.7;-0.702598
24.7122;1.70488;238.295;0.440279;240;0.7;-0.685941
24.8226;1.49323;238.507;0.406827;240;0.7;-0.666479
24.9346;1.28468;238.715;0.365807;240;0.7;-0.655364
25.0455;1.08534;238.915;0.338408;240;0.7;-0.632927
