Airframe: Cessna_CitationX
Kp: 0.1
Ki: 0
Kd: 0
tau: 0.025
limMin: 0.15
limMax: 0.9
intLimMin: 0.05
intLimMax: 0.5
holdSpeed: 240
T: 0.025
setpoint: 240
t;error;speed;out;setpoint;Int;Diff
0.139404;39.9278;200.072;0.9;240;0.05;0
0.272278;40.0751;199.925;0.9;240;0.05;0
0.405579;40.2227;199.777;0.9;240;0.05;0
0.539124;40.3706;199.629;0.9;240;0.05;0
0.672302;40.5179;199.482;0.9;240;0.05;0
0.774719;40.6311;199.369;0.9;240;0.05;0
0.882263;40.7498;199.25;0.9;240;0.05;0
0.985657;40.8638;199.136;0.9;240;0.05;0
1.08917;40.9776;199.022;0.9;240;0.05;0
1.19263;41.0909;198.909;0.9;240;0.05;0
1.29297;41.2003;198.8;0.9;240;0.05;0
1.39398;41.3096;198.69;0.9;240;0.05;0
1.49744;41.4205;198.579;0.9;240;0.05;0
1.60077;41.5299;198.47;0.9;240;0.05;0
1.70477;41.6384;198.362;0.9;240;0.05;0
1.8147;41.7512;198.249;0.9;240;0.05;0
1.91528;41.8521;198.148;0.9;240;0.05;0
2.02478;41.9596;198.04;0.9;240;0.05;0
2.13391;42.0639;197.936;0.9;240;0.05;0
2.24799;42.1694;197.831;0.9;240;0.05;0
2.3551;42.2649;197.735;0.9;240;0.05;0
2.46112;42.356;197.644;0.9;240;0.05;0
2.56592;42.4422;197.558;0.9;240;0.05;0
2.67029;42.524;197.476;0.9;240;0.05;0
2.77234;42.5998;197.4;0.9;240;0.05;0
2.90527;42.6918;197.308;0.9;240;0.05;0
3.00787;42.7574;197.243;0.9;240;0.05;0
3.13965;42.8341;197.166;0.9;240;0.05;0
3.2666;42.8992;197.101;0.9;240;0.05;0
3.38855;42.9535;197.047;0.9;240;0.05;0
3.50427;42.9967;197.003;0.9;240;0.05;0
3.61816;43.0313;196.969;0.9;240;0.05;0
3.73102;43.0569;196.943;0.9;240;0.05;0
3.85077;43.0743;196.926;0.9;240;0.05;0
3.96405;43.0811;196.919;0.9;240;0.05;0
4.07959;43.0779;196.922;0.9;240;0.05;0
4.20599;43.0618;196.938;0.9;240;0.05;0
4.31982;43.0358;196.964;0.9;240;0.05;0
4.42755;43.0005;197;0.9;240;0.05;0
4.53149;42.9564;197.044;0.9;240;0.05;0
4.6358;42.9018;197.098;0.9;240;0.05;0
4.74414;42.8338;197.166;0.9;240;0.05;0
4.84918;42.7566;197.243;0.9;240;0.05;0
4.95349;42.6686;197.331;0.9;240;0.05;0
5.06342;42.5634;197.437;0.9;240;0.05;0
5.16833;42.4508;197.549;0.9;240;0.05;0
5.28333;42.3134;197.687;0.9;240;0.05;0
5.38776;42.1765;197.824;0.9;240;0.05;0
5.49188;42.0282;197.972;0.9;240;0.05;0
5.59534;41.8696;198.13;0.9;240;0.05;0
5.69965;41.6987;198.301;0.9;240;0.05;0
5.81085;41.5048;198.495;0.9;240;0.05;0
5.91339;41.3161;198.684;0.9;240;0.05;0
6.02142;41.1073;198.893;0.9;240;0.05;0
6.12695;40.8944;199.106;0.9;240;0.05;0
6.23187;40.6745;199.325;0.9;240;0.05;0
6.33759;40.4454;199.555;0.9;240;0.05;0
6.44147;40.2135;199.786;0.9;240;0.05;0
6.54895;39.9671;200.033;0.9;240;0.05;0
6.65576;39.7166;200.283;0.9;240;0.05;0
6.76294;39.4603;200.54;0.9;240;0.05;0
6.87531;39.1865;200.813;0.9;240;0.05;0
6.98547;38.9144;201.086;0.9;240;0.05;0
7.09412;38.6429;201.357;0.9;240;0.05;0
7.20319;38.3675;201.633;0.9;240;0.05;0
7.30902;38.0983;201.902;0.9;240;0.05;0
7.41339;37.8315;202.169;0.9;240;0.05;0
7.51471;37.5707;202.429;0.9;240;0.05;0
7.62115;37.2966;202.703;0.9;240;0.05;0
7.73224;37.0098;202.99;0.9;240;0.05;0
7.84753;36.7119;203.288;0.9;240;0.05;0
7.95209;36.4423;203.558;0.9;240;0.05;0
8.0564;36.1737;203.826;0.9;240;0.05;0
8.16125;35.9044;204.096;0.9;240;0.05;0
8.2677;35.6318;204.368;0.9;240;0.05;0
8.37274;35.3638;204.636;0.9;240;0.05;0
8.47791;35.0967;204.903;0.9;240;0.05;0
8.58136;34.8354;205.165;0.9;240;0.05;0
8.68701;34.5701;205.43;0.9;240;0.05;0
8.7937;34.3037;205.696;0.9;240;0.05;0
8.90259;34.0334;205.967;0.9;240;0.05;0
9.01166;33.7646;206.235;0.9;240;0.05;0
9.11426;33.5139;206.486;0.9;240;0.05;0
9.21838;33.2609;206.739;0.9;240;0.05;0
9.32483;33.0044;206.996;0.9;240;0.05;0
9.4306;32.7515;207.249;0.9;240;0.05;0
9.53589;32.5017;207.498;0.9;240;0.05;0
9.6394;32.2579;207.742;0.9;240;0.05;0
9.74774;32.0048;207.995;0.9;240;0.05;0
9.85693;31.7517;208.248;0.9;240;0.05;0
9.95837;31.5187;208.481;0.9;240;0.05;0
10.062;31.2824;208.718;0.9;240;0.05;0
10.1655;31.0482;208.952;0.9;240;0.05;0
10.2744;30.8034;209.197;0.9;240;0.05;0
10.3784;30.5717;209.428;0.9;240;0.05;0
10.483;30.3404;209.66;0.9;240;0.05;0
10.587;30.1122;209.888;0.9;240;0.05;0
10.6896;29.8883;210.112;0.9;240;0.05;0
10.7928;29.665;210.335;0.9;240;0.05;0
10.8963;29.4426;210.557;0.9;240;0.05;0
10.9975;29.2265;210.773;0.9;240;0.05;0
11.0992;29.0106;210.989;0.9;240;0.05;0
11.2004;28.7974;211.203;0.9;240;0.05;0
11.3043;28.5797;211.42;0.9;240;0.05;0
11.4061;28.3676;211.632;0.9;240;0.05;0
11.5075;28.1575;211.843;0.9;240;0.05;0
11.6107;27.9448;212.055;0.9;240;0.05;0
11.7133;27.7345;212.265;0.9;240;0.05;0
11.8154;27.5264;212.474;0.9;240;0.05;0
11.93;27.2935;212.706;0.9;240;0.05;0
12.0347;27.0822;212.918;0.9;240;0.05;0
12.1415;26.8673;213.133;0.9;240;0.05;0
