Airframe: Cessna_CitationX
Kp: 0.3
Ki: 0
Kd: 0
tau: 0.025
limMin: 0.15
limMax: 0.9
intLimMin: 0.05
intLimMax: 0.5
holdSpeed: 240
T: 0.025
setpoint: 240
t;error;speed;out;setpoint;Int;Diff
0.140442;41.5551;198.445;0.9;240;0.05;0
0.242371;41.6678;198.332;0.9;240;0.05;0
0.345886;41.7822;198.218;0.9;240;0.05;0
0.44812;41.895;198.105;0.9;240;0.05;0
0.551514;42.0091;197.991;0.9;240;0.05;0
0.652893;42.1208;197.879;0.9;240;0.05;0
0.754761;42.233;197.767;0.9;240;0.05;0
0.887878;42.3795;197.621;0.9;240;0.05;0
1.02399;42.529;197.471;0.9;240;0.05;0
1.12451;42.6392;197.361;0.9;240;0.05;0
1.25537;42.7818;197.218;0.9;240;0.05;0
1.35712;42.8919;197.108;0.9;240;0.05;0
1.46722;43.01;196.99;0.9;240;0.05;0
1.57007;43.119;196.881;0.9;240;0.05;0
1.67065;43.2241;196.776;0.9;240;0.05;0
1.80286;43.3595;196.64;0.9;240;0.05;0
1.90363;43.4606;196.539;0.9;240;0.05;0
2.03436;43.5882;196.412;0.9;240;0.05;0
2.13666;43.6852;196.315;0.9;240;0.05;0
2.23737;43.7779;196.222;0.9;240;0.05;0
2.36969;43.8954;196.105;0.9;240;0.05;0
2.49994;44.0053;195.995;0.9;240;0.05;0
2.63367;44.1121;195.888;0.9;240;0.05;0
2.76465;44.2098;195.79;0.9;240;0.05;0
2.89612;44.3007;195.699;0.9;240;0.05;0
3.02563;44.3826;195.617;0.9;240;0.05;0
3.15619;44.4567;195.543;0.9;240;0.05;0
3.29071;44.5237;195.476;0.9;240;0.05;0
3.42084;44.5788;195.421;0.9;240;0.05;0
3.55353;44.6245;195.376;0.9;240;0.05;0
3.68213;44.6579;195.342;0.9;240;0.05;0
3.80981;44.6798;195.32;0.9;240;0.05;0
3.93854;44.69;195.31;0.9;240;0.05;0
4.06708;44.6874;195.313;0.9;240;0.05;0
4.16882;44.6759;195.324;0.9;240;0.05;0
4.30072;44.6479;195.352;0.9;240;0.05;0
4.43323;44.6045;195.396;0.9;240;0.05;0
4.56403;44.5458;195.454;0.9;240;0.05;0
4.69391;44.4712;195.529;0.9;240;0.05;0
4.8241;44.3795;195.621;0.9;240;0.05;0
4.95343;44.2712;195.729;0.9;240;0.05;0
5.08374;44.144;195.856;0.9;240;0.05;0
5.2132;43.9995;196;0.9;240;0.05;0
5.34418;43.8346;196.165;0.9;240;0.05;0
5.44604;43.6935;196.307;0.9;240;0.05;0
5.54883;43.5397;196.46;0.9;240;0.05;0
5.65637;43.3671;196.633;0.9;240;0.05;0
5.76056;43.189;196.811;0.9;240;0.05;0
5.86505;42.9999;197;0.9;240;0.05;0
5.9715;42.7972;197.203;0.9;240;0.05;0
6.07562;42.5897;197.41;0.9;240;0.05;0
6.18005;42.3733;197.627;0.9;240;0.05;0
6.28766;42.1419;197.858;0.9;240;0.05;0
6.38788;41.9197;198.08;0.9;240;0.05;0
6.48828;41.6914;198.309;0.9;240;0.05;0
6.58966;41.4551;198.545;0.9;240;0.05;0
6.69;41.2163;198.784;0.9;240;0.05;0
6.82471;40.8893;199.111;0.9;240;0.05;0
6.93042;40.6279;199.372;0.9;240;0.05;0
7.034;40.3685;199.632;0.9;240;0.05;0
7.14264;40.0934;199.907;0.9;240;0.05;0
7.27344;39.7593;200.241;0.9;240;0.05;0
7.40582;39.4182;200.582;0.9;240;0.05;0
7.53619;39.0806;200.919;0.9;240;0.05;0
7.66919;38.7349;201.265;0.9;240;0.05;0
7.77454;38.4605;201.539;0.9;240;0.05;0
7.90637;38.1174;201.883;0.9;240;0.05;0
8.039;37.7726;202.227;0.9;240;0.05;0
8.16937;37.4348;202.565;0.9;240;0.05;0
8.27612;37.1588;202.841;0.9;240;0.05;0
8.40314;36.8324;203.168;0.9;240;0.05;0
8.52734;36.5154;203.485;0.9;240;0.05;0
8.64117;36.2263;203.774;0.9;240;0.05;0
8.76562;35.9125;204.087;0.9;240;0.05;0
8.87524;35.6379;204.362;0.9;240;0.05;0
8.98749;35.3589;204.641;0.9;240;0.05;0
9.0993;35.0826;204.917;0.9;240;0.05;0
9.19983;34.8359;205.164;0.9;240;0.05;0
9.31329;34.5599;205.44;0.9;240;0.05;0
9.42743;34.2838;205.716;0.9;240;0.05;0
9.5564;33.9751;206.025;0.9;240;0.05;0
9.68213;33.677;206.323;0.9;240;0.05;0
9.78229;33.4416;206.558;0.9;240;0.05;0
9.90594;33.1533;206.847;0.9;240;0.05;0
10.0291;32.869;207.131;0.9;240;0.05;0
10.1397;32.6157;207.384;0.9;240;0.05;0
10.2712;32.3173;207.683;0.9;240;0.05;0
10.3962;32.0361;207.964;0.9;240;0.05;0
10.5309;31.7359;208.264;0.9;240;0.05;0
10.6668;31.4361;208.564;0.9;240;0.05;0
10.7763;31.1965;208.803;0.9;240;0.05;0
10.8855;30.9592;209.041;0.9;240;0.05;0
10.9946;30.724;209.276;0.9;240;0.05;0
11.1178;30.4599;209.54;0.9;240;0.05;0
11.2285;30.2244;209.776;0.9;240;0.05;0
11.3655;29.9351;210.065;0.9;240;0.05;0
11.4807;29.6934;210.307;0.9;240;0.05;0
11.5849;29.4762;210.524;0.9;240;0.05;0
11.6904;29.2574;210.743;0.9;240;0.05;0
11.8016;29.028;210.972;0.9;240;0.05;0
11.9116;28.8022;211.198;0.9;240;0.05;0
12.0209;28.5787;211.421;0.9;240;0.05;0
12.1278;28.3615;211.639;0.9;240;0.05;0
12.233;28.1486;211.851;0.9;240;0.05;0
12.348;27.9166;212.083;0.9;240;0.05;0
12.4588;27.6939;212.306;0.9;240;0.05;0
12.5709;27.4694;212.531;0.9;240;0.05;0
12.6836;27.2445;212.756;0.9;240;0.05;0
12.7974;27.018;212.982;0.9;240;0.05;0
12.9076;26.7993;213.201;0.9;240;0.05;0
13.0162;26.5843;213.416;0.9;240;0.05;0
13.1222;26.375;213.625;0.9;240;0.05;0
13.2294;26.1636;213.836;0.9;240;0.05;0
13.3351;25.9554;214.045;0.9;240;0.05;0
13.4414;25.7464;214.254;0.9;240;0.05;0
13.5564;25.5205;214.479;0.9;240;0.05;0
13.6724;25.2928;214.707;0.9;240;0.05;0
13.7988;25.0447;214.955;0.9;240;0.05;0
13.906;24.8348;215.165;0.9;240;0.05;0
14.0123;24.6266;215.373;0.9;240;0.05;0
14.1183;24.419;215.581;0.9;240;0.05;0
14.226;24.2081;215.792;0.9;240;0.05;0
14.3348;23.9948;216.005;0.9;240;0.05;0
14.4387;23.7912;216.209;0.9;240;0.05;0
14.5449;23.5831;216.417;0.9;240;0.05;0
14.6552;23.3666;216.633;0.9;240;0.05;0
14.7599;23.1611;216.839;0.9;240;0.05;0
14.8677;22.9492;217.051;0.9;240;0.05;0
14.973;22.7422;217.258;0.9;240;0.05;0
15.0787;22.5339;217.466;0.9;240;0.05;0
15.1846;22.3251;217.675;0.9;240;0.05;0
15.2886;22.1196;217.88;0.9;240;0.05;0
15.3935;21.9122;218.088;0.9;240;0.05;0
15.5021;21.697;218.303;0.9;240;0.05;0
15.6139;21.4751;218.525;0.9;240;0.05;0
15.7202;21.2639;218.736;0.9;240;0.05;0
15.8278;21.0497;218.95;0.9;240;0.05;0
15.934;20.8377;219.162;0.9;240;0.05;0
16.0394;20.6272;219.373;0.9;240;0.05;0
16.1489;20.4081;219.592;0.9;240;0.05;0
16.2587;20.1877;219.812;0.9;240;0.05;0
16.3708;19.9625;220.038;0.9;240;0.05;0
16.4983;19.7056;220.294;0.9;240;0.05;0
16.6023;19.4957;220.504;0.9;240;0.05;0
16.7327;19.2322;220.768;0.9;240;0.05;0
16.8476;18.9993;221.001;0.9;240;0.05;0
16.9489;18.7937;221.206;0.9;240;0.05;0
17.0623;18.563;221.437;0.9;240;0.05;0
17.1768;18.3297;221.67;0.9;240;0.05;0
17.2923;18.0937;221.906;0.9;240;0.05;0
17.3942;17.8853;222.115;0.9;240;0.05;0
17.5219;17.623;222.377;0.9;240;0.05;0
17.6248;17.4114;222.589;0.9;240;0.05;0
17.7399;17.1744;222.826;0.9;240;0.05;0
17.8423;16.9634;223.037;0.9;240;0.05;0
17.9457;16.7497;223.25;0.9;240;0.05;0
18.0723;16.4876;223.512;0.9;240;0.05;0
18.1749;16.275;223.725;0.9;240;0.05;0
18.293;16.0291;223.971;0.9;240;0.05;0
18.4037;15.7987;224.201;0.9;240;0.05;0
18.5228;15.5502;224.45;0.9;240;0.05;0
18.6273;15.3325;224.667;0.9;240;0.05;0
18.7433;15.0898;224.91;0.9;240;0.05;0
18.846;14.8749;225.125;0.9;240;0.05;0
18.9484;14.6604;225.34;0.9;240;0.05;0
19.0729;14.3991;225.601;0.9;240;0.05;0
19.1871;14.1591;225.841;0.9;240;0.05;0
19.3243;13.8703;226.13;0.9;240;0.05;0
19.4402;13.6259;226.374;0.9;240;0.05;0
19.5658;13.3612;226.639;0.9;240;0.05;0
19.6669;13.1475;226.852;0.9;240;0.05;0
19.7823;12.9036;227.096;0.9;240;0.05;0
19.8897;12.6762;227.324;0.9;240;0.05;0
19.9969;12.4491;227.551;0.9;240;0.05;0
20.1052;12.2197;227.78;0.9;240;0.05;0
20.214;11.9889;228.011;0.9;240;0.05;0
20.3217;11.7605;228.239;0.9;240;0.05;0
20.4337;11.5226;228.477;0.9;240;0.05;0
20.5394;11.2981;228.702;0.9;240;0.05;0
20.6535;11.0559;228.944;0.9;240;0.05;0
20.7657;10.8173;229.183;0.9;240;0.05;0
20.9021;10.5275;229.473;0.9;240;0.05;0
21.0146;10.2881;229.712;0.9;240;0.05;0
21.1383;10.0251;229.975;0.9;240;0.05;0
21.2388;9.81105;230.189;0.9;240;0.05;0
21.3649;9.54276;230.457;0.9;240;0.05;0
21.4715;9.31552;230.684;0.9;240;0.05;0
21.5735;9.09833;230.902;0.9;240;0.05;0
21.6763;8.87984;231.12;0.9;240;0.05;0
21.78;8.65913;231.341;0.9;240;0.05;0
21.8956;8.41316;231.587;0.9;240;0.05;0
22.0095;8.17096;231.829;0.9;240;0.05;0
22.1124;7.95212;232.048;0.9;240;0.05;0
22.231;7.70013;232.3;0.9;240;0.05;0
22.3412;7.46562;232.534;0.9;240;0.05;0
22.4566;7.22028;232.78;0.9;240;0.05;0
22.5647;6.99075;233.009;0.9;240;0.05;0
22.6733;6.76015;233.24;0.9;240;0.05;0
22.7815;6.53076;233.469;0.9;240;0.05;0
22.8902;6.30022;233.7;0.9;240;0.05;0
22.9988;6.07008;233.93;0.9;240;0.05;0
23.1058;5.84377;234.156;0.9;240;0.05;0
23.2149;5.61279;234.387;0.9;240;0.05;0
23.3259;5.3783;234.622;0.9;240;0.05;0
23.4338;5.15015;234.85;0.9;240;0.05;0
23.543;4.91959;235.08;0.9;240;0.05;0
23.6516;4.69052;235.309;0.9;240;0.05;0
23.7592;4.46365;235.536;0.9;240;0.05;0
23.8688;4.23279;235.767;0.9;240;0.05;0
23.9775;4.00403;235.996;0.9;240;0.05;0
24.0847;3.77864;236.221;0.9;240;0.05;0
24.1931;3.55081;236.449;0.9;240;0.05;0
24.3049;3.31624;236.684;0.9;240;0.05;0
24.4177;3.07954;236.92;0.9;240;0.05;0
