Airframe: Cessna_CitationX
Kp: 0.25
Ki: 0.05
Kd: 0.1
tau: 0.005
limMin: 0.15
limMax: 0.9
intLimMin: 0.05
intLimMax: 0.7
holdSpeed: 245
T: 0.05
setpoint: 245
t;error;speed;out;setpoint;Int;Diff
0.196289;5.32472;239.675;0.15;245;0.087176;-47.1552
0.322998;5.26262;239.737;0.15;245;0.120714;-25.0933
0.449951;5.19928;239.801;0.15;245;0.153919;-13.4397
0.575562;5.1357;239.864;0.15;245;0.186374;-7.22057
0.70166;5.07172;239.928;0.15;245;0.218552;-3.95914
0.829102;5.00795;239.992;0.15;245;0.250666;-2.25185
0.944092;4.95241;240.048;0.271637;245;0.279298;-1.24576
1.07178;4.89424;240.106;0.736517;245;0.310728;-0.797772
1.20251;4.84032;240.16;0.9;245;0.342543;-0.554352
1.31885;4.79817;240.202;0.9;245;0.370572;-0.38043
1.43726;4.76231;240.238;0.9;245;0.39887;-0.280223
1.5426;4.73685;240.263;0.9;245;0.423886;-0.197435
1.67053;4.71471;240.285;0.9;245;0.454111;-0.156018
1.7981;4.70204;240.298;0.9;245;0.484138;-0.111696
1.91565;4.69846;240.302;0.9;245;0.511762;-0.0634459
2.03979;4.7021;240.298;0.9;245;0.540935;-0.023688
2.16382;4.71252;240.287;0.9;245;0.570123;0.0131301
2.28772;4.72842;240.272;0.9;245;0.599365;0.0453482
2.41687;4.7494;240.251;0.9;245;0.629965;0.0734788
2.55029;4.77409;240.226;0.9;245;0.66173;0.0961973
2.68335;4.8002;240.2;0.9;245;0.693578;0.111907
2.79956;4.823;240.177;0.9;245;0.7;0.113276
2.91626;4.84499;240.155;0.9;245;0.7;0.109137
3.03589;4.86577;240.134;0.9;245;0.7;0.106791
3.1665;4.8855;240.115;0.9;245;0.7;0.102838
3.26819;4.89813;240.102;0.9;245;0.7;0.0807509
3.40002;4.91017;240.09;0.9;245;0.7;0.0708083
3.51807;4.91629;240.084;0.9;245;0.7;0.0492402
3.64905;4.91731;240.083;0.9;245;0.7;0.0284045
3.76611;4.91277;240.087;0.9;245;0.7;0.00210558
3.87073;4.90404;240.096;0.9;245;0.7;-0.0231713
3.99036;4.88834;240.112;0.9;245;0.7;-0.0510278
4.11621;4.86505;240.135;0.9;245;0.7;-0.082629
4.24268;4.8343;240.166;0.9;245;0.7;-0.116955
4.35852;4.79991;240.2;0.9;245;0.7;-0.14561
4.47546;4.75874;240.241;0.9;245;0.7;-0.176763
4.59143;4.71158;240.288;0.9;245;0.7;-0.202933
4.724;4.64986;240.35;0.9;245;0.7;-0.251906
4.84338;4.58722;240.413;0.9;245;0.7;-0.283613
4.97314;4.5116;240.488;0.9;245;0.7;-0.328164
5.10498;4.42685;240.573;0.9;245;0.7;-0.372725
5.23755;4.33344;240.667;0.9;245;0.7;-0.416611
5.35303;4.24553;240.754;0.9;245;0.7;-0.429719
5.48364;4.13916;240.861;0.9;245;0.7;-0.47713
5.61499;4.0247;240.975;0.9;245;0.7;-0.521718
5.73157;3.91707;241.083;0.9;245;0.7;-0.531392
5.86292;3.7892;241.211;0.9;245;0.7;-0.581777
5.98621;3.66277;241.337;0.9;245;0.7;-0.591228
6.08716;3.55499;241.445;0.9;245;0.7;-0.563137
6.1875;3.44408;241.556;0.9;245;0.7;-0.559052
