Airframe: Cessna_CitationX
Kp: 0.2
Ki: 0
Kd: 0.185
tau: 0.02
limMin: 0.15
limMax: 0.9
intLimMin: 0.05
intLimMax: 0.2
holdSpeed: 240
T: 0.02
setpoint: 240
t;error;speed;out;setpoint;Int;Diff
0.139648;35.5714;204.429;0.9;240;0.05;2.02032
0.259277;35.6966;204.303;0.9;240;0.05;0.0955221
0.378906;35.8224;204.178;0.9;240;0.05;0.143158
0.507324;35.9583;204.042;0.9;240;0.05;0.141594
0.616211;36.0741;203.926;0.9;240;0.05;0.100339
0.717773;36.1824;203.818;0.9;240;0.05;0.108778
0.836426;36.3091;203.691;0.9;240;0.05;0.153839
0.937744;36.4173;203.583;0.9;240;0.05;0.098476
1.04932;36.5355;203.464;0.9;240;0.05;0.0977762
1.15942;36.6508;203.349;0.9;240;0.05;0.0974061
1.27905;36.7737;203.226;0.9;240;0.05;0.145273
1.38306;36.8778;203.122;0.9;240;0.05;0.100869
1.48926;36.981;203.019;0.9;240;0.05;0.0922274
1.5979;37.0823;202.918;0.9;240;0.05;0.0929823
1.7085;37.1804;202.82;0.9;240;0.05;0.0785015
1.81299;37.2681;202.732;0.9;240;0.05;0.121299
1.91504;37.3482;202.652;0.9;240;0.05;0.0701676
2.03418;37.4342;202.566;0.9;240;0.05;0.0974765
2.14429;37.5061;202.494;0.9;240;0.05;0.0559689
2.25366;37.5695;202.43;0.9;240;0.05;0.0489414
2.354;37.6204;202.38;0.9;240;0.05;0.0429167
2.45605;37.6645;202.335;0.9;240;0.05;0.0381225
2.56689;37.7038;202.296;0.9;240;0.05;0.0309881
2.67676;37.7332;202.267;0.9;240;0.05;0.020445
2.79688;37.7545;202.245;0.9;240;0.05;0.0131701
2.90283;37.7637;202.236;0.9;240;0.05;0.00451492
3.01001;37.764;202.236;0.9;240;0.05;-0.00394937
3.11621;37.755;202.245;0.9;240;0.05;-0.0119821
3.22437;37.7364;202.264;0.9;240;0.05;-0.0194643
3.32959;37.7094;202.291;0.9;240;0.05;-0.0298373
3.43604;37.6733;202.327;0.9;240;0.05;-0.0365273
3.54395;37.6275;202.373;0.9;240;0.05;-0.0407157
3.64893;37.5744;202.426;0.9;240;0.05;-0.0518133
3.74927;37.5161;202.484;0.9;240;0.05;-0.0480246
3.8501;37.4498;202.55;0.9;240;0.05;-0.0652973
3.9541;37.3738;202.626;0.9;240;0.05;-0.108485
4.07373;37.2771;202.723;0.9;240;0.05;-0.0679369
4.17773;37.1852;202.815;0.9;240;0.05;-0.0829229
4.29639;37.0715;202.928;0.9;240;0.05;-0.13958
4.42529;36.9382;203.062;0.9;240;0.05;-0.147164
4.54395;36.8062;203.194;0.9;240;0.05;-0.0902781
4.65308;36.6779;203.322;0.9;240;0.05;-0.163543
4.7666;36.5371;203.463;0.9;240;0.05;-0.124642
4.8728;36.3992;203.601;0.9;240;0.05;-0.133081
4.97925;36.2552;203.745;0.9;240;0.05;-0.132369
5.08765;36.1027;203.897;0.9;240;0.05;-0.144537
5.19507;35.9461;204.054;0.9;240;0.05;-0.144509
5.30103;35.7868;204.213;0.9;240;0.05;-0.145934
5.40942;35.6185;204.381;0.9;240;0.05;-0.162182
5.52539;35.4332;204.567;0.9;240;0.05;-0.228961
5.63794;35.2488;204.751;0.9;240;0.05;-0.143312
5.74634;35.0666;204.933;0.9;240;0.05;-0.155825
5.86572;34.8611;205.139;0.9;240;0.05;-0.170581
5.99561;34.6322;205.368;0.9;240;0.05;-0.248665
6.09619;34.4516;205.548;0.9;240;0.05;-0.138254
6.20728;34.2484;205.752;0.9;240;0.05;-0.258284
6.31006;34.0576;205.942;0.9;240;0.05;-0.180607
6.43066;33.8295;206.171;0.9;240;0.05;-0.247702
6.53662;33.6267;206.373;0.9;240;0.05;-0.196568
6.64233;33.4215;206.578;0.9;240;0.05;-0.190776
6.7522;33.2058;206.794;0.9;240;0.05;-0.199003
6.85864;32.9947;207.005;0.9;240;0.05;-0.196527
6.96533;32.7809;207.219;0.9;240;0.05;-0.190496
7.08252;32.5436;207.456;0.9;240;0.05;-0.294334
7.19336;32.3169;207.683;0.9;240;0.05;-0.29604
7.3042;32.0885;207.911;0.9;240;0.05;-0.192347
7.41431;31.86;208.14;0.9;240;0.05;-0.197431
7.53394;31.6099;208.39;0.9;240;0.05;-0.205384
7.65356;31.3577;208.642;0.9;240;0.05;-0.304003
7.76074;31.1303;208.87;0.9;240;0.05;-0.202443
7.87109;30.8955;209.104;0.9;240;0.05;-0.307154
7.97437;30.6746;209.325;0.9;240;0.05;-0.195467
8.08447;30.4375;209.562;0.9;240;0.05;-0.173839
8.19312;30.2033;209.797;0.9;240;0.05;-0.292669
8.29614;29.9801;210.02;0.9;240;0.05;-0.199749
8.39648;29.7617;210.238;0.9;240;0.05;-0.204251
8.52637;29.4791;210.521;0.9;240;0.05;-0.303052
8.63647;29.2382;210.762;0.9;240;0.05;-0.192301
8.74536;28.9996;211;0.9;240;0.05;-0.214221
8.85376;28.7619;211.238;0.9;240;0.05;-0.29652
8.9541;28.5408;211.459;0.9;240;0.05;-0.201517
9.07373;28.2777;211.722;0.9;240;0.05;-0.2115
9.17749;28.0488;211.951;0.9;240;0.05;-0.220948
9.28589;27.8095;212.19;0.9;240;0.05;-0.221391
9.39111;27.5771;212.423;0.9;240;0.05;-0.21776
9.49854;27.3396;212.66;0.9;240;0.05;-0.225194
9.60742;27.0988;212.901;0.9;240;0.05;-0.218663
9.71631;26.8575;213.143;0.9;240;0.05;-0.254114
9.81812;26.6324;213.368;0.9;240;0.05;-0.18334
9.91919;26.4087;213.591;0.9;240;0.05;-0.211704
10.0295;26.1644;213.836;0.9;240;0.05;-0.317715
10.1416;25.9166;214.083;0.9;240;0.05;-0.175219
10.2537;25.6686;214.331;0.9;240;0.05;-0.203109
10.3721;25.4069;214.593;0.9;240;0.05;-0.173898
10.4739;25.1817;214.818;0.9;240;0.05;-0.205665
10.575;24.9582;215.042;0.9;240;0.05;-0.20426
10.6851;24.7154;215.285;0.9;240;0.05;-0.315912
10.7944;24.4741;215.526;0.9;240;0.05;-0.169567
10.9238;24.1887;215.811;0.9;240;0.05;-0.32507
11.0349;23.9445;216.055;0.9;240;0.05;-0.22911
11.1472;23.6971;216.303;0.9;240;0.05;-0.199092
11.2483;23.4753;216.525;0.9;240;0.05;-0.207187
11.3777;23.1911;216.809;0.9;240;0.05;-0.31759
11.479;22.9687;217.031;0.9;240;0.05;-0.213205
11.5815;22.7439;217.256;0.9;240;0.05;-0.206562
11.6841;22.5198;217.48;0.9;240;0.05;-0.202098
11.7996;22.2667;217.733;0.9;240;0.05;-0.216315
11.908;22.0298;217.97;0.9;240;0.05;-0.295076
12.022;21.7814;218.219;0.9;240;0.05;-0.226085
12.1301;21.5458;218.454;0.9;240;0.05;-0.212863
12.239;21.3089;218.691;0.9;240;0.05;-0.209883
12.3459;21.0761;218.924;0.9;240;0.05;-0.216766
12.458;20.8329;219.167;0.9;240;0.05;-0.230319
12.5706;20.5889;219.411;0.9;240;0.05;-0.224979
12.6787;20.3545;219.646;0.9;240;0.05;-0.216873
12.7883;20.1173;219.883;0.9;240;0.05;-0.232548
12.8958;19.885;220.115;0.9;240;0.05;-0.217796
13.0081;19.6428;220.357;0.9;240;0.05;-0.222747
13.1189;19.4037;220.596;0.9;240;0.05;-0.210259
13.2268;19.1712;220.829;0.9;240;0.05;-0.212988
13.333;18.9424;221.058;0.9;240;0.05;-0.211991
13.4424;18.7072;221.293;0.9;240;0.05;-0.216859
13.5491;18.4777;221.522;0.9;240;0.05;-0.204218
13.655;18.2502;221.75;0.9;240;0.05;-0.209778
13.7693;18.005;221.995;0.9;240;0.05;-0.286442
13.8784;17.7713;222.229;0.9;240;0.05;-0.210496
13.9851;17.5423;222.458;0.9;240;0.05;-0.220632
14.0962;17.3049;222.695;0.9;240;0.05;-0.231982
14.21;17.0616;222.938;0.9;240;0.05;-0.307013
14.3196;16.8274;223.173;0.9;240;0.05;-0.208671
14.4304;16.5909;223.409;0.9;240;0.05;-0.301723
14.5493;16.3369;223.663;0.9;240;0.05;-0.300377
14.6685;16.0831;223.917;0.9;240;0.05;-0.311865
14.7881;15.8281;224.172;0.9;240;0.05;-0.163903
14.8943;15.6017;224.398;0.9;240;0.05;-0.214902
15.0024;15.3712;224.629;0.9;240;0.05;-0.208738
15.1113;15.1394;224.861;0.9;240;0.05;-0.207544
15.2207;14.9068;225.093;0.9;240;0.05;-0.207396
15.3308;14.6726;225.327;0.9;240;0.05;-0.21133
15.437;14.4471;225.553;0.9;240;0.05;-0.21398
15.5439;14.2194;225.781;0.9;240;0.05;-0.206613
15.6536;13.9865;226.013;0.9;240;0.05;-0.222045
15.7617;13.7567;226.243;0.9;240;0.05;-0.208211
