Kp: 0.28
Ki: 0.0553574
Kd: 0.531094
tau: 0.025
limMin: 0.25
limMax: 0.75
intLimMin: 0.25
intLimMax: 0.5
holdSpeed: 245
T: 0.05
setpoint: 245
t;error;speed;out;setpoint
0.164307;-3.78015;248.78;0;245
0.276093;-3.79193;248.792;0;245
0.384308;-3.80267;248.803;0;245
0.495728;-3.81291;248.813;0;245
0.602997;-3.8219;248.822;0;245
0.719208;-3.83031;248.83;0;245
0.826294;-3.83667;248.837;0;245
0.93338;-3.84117;248.841;0;245
1.04117;-3.84329;248.843;0;245
1.14874;-3.84221;248.842;0;245
1.25323;-3.83746;248.837;0;245
1.35706;-3.82838;248.828;0;245
1.45975;-3.81461;248.815;0;245
1.56277;-3.79533;248.795;0;245
1.66528;-3.77046;248.77;0;245
1.76712;-3.73962;248.74;0;245
1.86938;-3.70216;248.702;0;245
1.97171;-3.658;248.658;0;245
2.09113;-3.59773;248.598;0;245
2.19629;-3.53677;248.537;0;245
2.30527;-3.46581;248.466;0;245
2.40994;-3.39029;248.39;0;245
2.51755;-3.30513;248.305;0;245
2.62119;-3.21616;248.216;0;245
2.72287;-3.12245;248.122;0;245
2.82605;-3.02098;248.021;0;245
2.93475;-2.90735;247.907;0.00751531;245
3.03641;-2.79539;247.795;0.0637202;245
3.16992;-2.64032;247.64;0.340101;245
3.2713;-2.51692;247.517;0.215831;245
3.38858;-2.3683;247.368;0.289104;245
3.49448;-2.22929;247.229;0.385956;245
3.61234;-2.06956;247.07;0.59617;245
3.71414;-1.92758;246.928;0.475787;245
3.81979;-1.77644;246.776;0.573949;245
3.92645;-1.62033;246.62;0.625;245
4.04315;-1.44598;246.446;0.625;245
4.16037;-1.26749;246.267;0.625;245
4.26123;-1.11163;246.112;0.625;245
4.37976;-0.926498;245.926;0.625;245
4.51328;-0.716827;245.717;0.625;245
4.61679;-0.554428;245.554;0.625;245
4.71936;-0.394363;245.394;0.625;245
4.8201;-0.238815;245.239;0.625;245
4.92737;-0.0755005;245.076;0.625;245
5.0434;0.0975037;244.902;0.625;245
5.17551;0.289368;244.711;0.625;245
5.30734;0.474533;244.525;0.625;245
5.42386;0.632553;244.367;0.625;245
5.54102;0.785645;244.214;0.625;245
5.67325;0.950928;244.049;0.625;245
5.7739;1.07104;243.929;0.625;245
5.89606;1.21017;243.79;0.625;245
5.99847;1.32077;243.679;0.625;245
6.11642;1.44112;243.559;0.625;245
6.23898;1.5583;243.442;0.625;245
6.35699;1.66333;243.337;0.625;245
6.48782;1.77068;243.229;0.625;245
6.61588;1.86639;243.134;0.625;245
6.72229;1.93875;243.061;0.625;245
6.87152;2.0303;242.97;0.625;245
6.99136;2.09499;242.905;0.625;245
7.11166;2.1525;242.848;0.625;245
7.21558;2.19626;242.804;0.625;245
7.31754;2.23399;242.766;0.625;245
7.41837;2.2663;242.734;0.625;245
7.52225;2.29437;242.706;0.625;245
7.62549;2.31735;242.683;0.625;245
7.72781;2.33501;242.665;0.625;245
7.83005;2.34793;242.652;0.625;245
7.93521;2.35654;242.643;0.625;245
8.03583;2.36038;242.64;0.625;245
8.15262;2.36;242.64;0.625;245
8.25299;2.35582;242.644;0.625;245
8.35471;2.34839;242.652;0.625;245
8.45651;2.33823;242.662;0.625;245
8.57886;2.32283;242.677;0.625;245
8.6799;2.30797;242.692;0.625;245
8.7822;2.29092;242.709;0.625;245
8.89981;2.26901;242.731;0.625;245
9.00684;2.24658;242.753;0.625;245
9.10876;2.22287;242.777;0.625;245
9.21146;2.19666;242.803;0.625;245
9.31393;2.16789;242.832;0.625;245
9.43433;2.13068;242.869;0.625;245
9.55063;2.09137;242.909;0.625;245
9.66803;2.04846;242.952;0.625;245
