Airframe: Cessna_CitationX
Kp: 0.24
Ki: 0.2
Kd: 0.15
tau: 0.03
limMin: 0.15
limMax: 0.9
intLimMin: 0.05
intLimMax: 0.3
holdSpeed: 240
T: 0.03
setpoint: 240
t;error;speed;out;setpoint;Int;Diff
0.158936;38.1756;201.824;0.9;240;0.3;-5.59783
0.292969;38.3989;201.601;0.9;240;0.3;0.123148
0.422119;38.6088;201.391;0.9;240;0.3;0.129271
0.523438;38.7705;201.229;0.9;240;0.3;0.133528
0.625732;38.9317;201.068;0.9;240;0.3;0.132952
0.726562;39.0881;200.912;0.9;240;0.3;0.133389
0.826904;39.2419;200.758;0.9;240;0.3;0.12935
0.929443;39.3972;200.603;0.9;240;0.3;0.131261
1.03247;39.5513;200.449;0.9;240;0.3;0.127774
1.13477;39.7028;200.297;0.9;240;0.3;0.124737
1.2373;39.8531;200.147;0.9;240;0.3;0.129922
1.33911;40.0007;199.999;0.9;240;0.3;0.113427
1.43945;40.1446;199.855;0.9;240;0.3;0.117893
1.54517;40.2947;199.705;0.9;240;0.3;0.116793
1.67407;40.4752;199.525;0.9;240;0.3;0.111801
1.7749;40.6147;199.385;0.9;240;0.3;0.11329
1.90112;40.7865;199.214;0.9;240;0.3;0.104311
2.02856;40.9569;199.043;0.9;240;0.3;0.107615
2.12939;41.089;198.911;0.9;240;0.3;0.107098
2.23071;41.2196;198.78;0.9;240;0.3;0.108597
2.33154;41.3469;198.653;0.9;240;0.3;0.103553
2.46265;41.5082;198.492;0.9;240;0.3;0.0957204
2.58862;41.6579;198.342;0.9;240;0.3;0.0875579
2.71997;41.8083;198.192;0.9;240;0.3;0.0925466
2.84521;41.9456;198.054;0.9;240;0.3;0.0916898
2.94751;42.053;197.947;0.9;240;0.3;0.0910306
3.04785;42.1536;197.846;0.9;240;0.3;0.0833197
3.15039;42.2517;197.748;0.9;240;0.3;0.079039
3.28394;42.3708;197.629;0.9;240;0.3;0.0737122
3.38428;42.4538;197.546;0.9;240;0.3;0.0683344
3.48608;42.532;197.468;0.9;240;0.3;0.0625451
3.58789;42.6034;197.397;0.9;240;0.3;0.056344
3.68823;42.6669;197.333;0.9;240;0.3;0.0496384
3.78857;42.7233;197.277;0.9;240;0.3;0.0416762
3.91724;42.7844;197.216;0.9;240;0.3;0.033178
4.01782;42.823;197.177;0.9;240;0.3;0.0295279
4.12036;42.8537;197.146;0.9;240;0.3;0.0233039
4.2229;42.8751;197.125;0.9;240;0.3;0.0141931
4.3562;42.8884;197.112;0.9;240;0.3;0.00379052
4.45801;42.8872;197.113;0.9;240;0.3;-0.0045953
4.55884;42.8757;197.124;0.9;240;0.3;-0.0130406
4.65894;42.854;197.146;0.9;240;0.3;-0.0210988
4.7627;42.82;197.18;0.9;240;0.3;-0.034455
4.8645;42.7751;197.225;0.9;240;0.3;-0.0408924
4.96533;42.7191;197.281;0.9;240;0.3;-0.0514877
5.06738;42.6504;197.35;0.9;240;0.3;-0.0608761
5.16943;42.5694;197.431;0.9;240;0.3;-0.0685566
5.27759;42.47;197.53;0.9;240;0.3;-0.0847929
5.40747;42.3321;197.668;0.9;240;0.3;-0.0926823
5.50781;42.2124;197.788;0.9;240;0.3;-0.102585
5.60815;42.0808;197.919;0.9;240;0.3;-0.113674
5.71045;41.9356;198.064;0.9;240;0.3;-0.127137
5.8208;41.7666;198.233;0.9;240;0.3;-0.12599
5.92212;41.6003;198.4;0.9;240;0.3;-0.138647
6.02344;41.4244;198.576;0.9;240;0.3;-0.154588
6.12451;41.2399;198.76;0.9;240;0.3;-0.14108
6.25073;40.9971;199.003;0.9;240;0.3;-0.156611
6.37866;40.7387;199.261;0.9;240;0.3;-0.168196
6.50635;40.4698;199.53;0.9;240;0.3;-0.171197
6.63428;40.1899;199.81;0.9;240;0.3;-0.177854
6.76099;39.9034;200.097;0.9;240;0.3;-0.174825
6.89014;39.6037;200.396;0.9;240;0.3;-0.200085
7.01611;39.3047;200.695;0.9;240;0.3;-0.195378
7.11621;39.0625;200.937;0.9;240;0.3;-0.229835
7.24341;38.7501;201.25;0.9;240;0.3;-0.193177
7.37256;38.4287;201.571;0.9;240;0.3;-0.205626
7.50024;38.1074;201.893;0.9;240;0.3;-0.20387
7.62915;37.7801;202.22;0.9;240;0.3;-0.205903
7.75586;37.456;202.544;0.9;240;0.3;-0.204711
7.85669;37.1964;202.804;0.9;240;0.3;-0.205187
7.96045;36.929;203.071;0.9;240;0.3;-0.221185
8.06519;36.6579;203.342;0.9;240;0.3;-0.261259
8.1687;36.3897;203.61;0.9;240;0.3;-0.225635
8.27148;36.1237;203.876;0.9;240;0.3;-0.201156
8.40186;35.7858;204.214;0.9;240;0.3;-0.202213
8.50244;35.526;204.474;0.9;240;0.3;-0.20817
8.60913;35.2501;204.75;0.9;240;0.3;-0.214201
8.71484;34.977;205.023;0.9;240;0.3;-0.229096
8.81909;34.7088;205.291;0.9;240;0.3;-0.216766
8.92456;34.4377;205.562;0.9;240;0.3;-0.231742
9.0332;34.1602;205.84;0.9;240;0.3;-0.218577
9.16187;33.832;206.168;0.9;240;0.3;-0.200541
9.2915;33.5033;206.497;0.9;240;0.3;-0.198465
9.42261;33.1721;206.828;0.9;240;0.3;-0.216957
9.52612;32.9124;207.088;0.9;240;0.3;-0.214553
9.63159;32.6484;207.352;0.9;240;0.3;-0.214308
9.73267;32.3965;207.603;0.9;240;0.3;-0.214607
9.8811;32.0264;207.974;0.9;240;0.3;-0.320843
9.98413;31.7725;208.228;0.9;240;0.3;-0.164518
10.1062;31.4736;208.526;0.9;240;0.3;-0.157337
10.2078;31.2263;208.774;0.9;240;0.3;-0.204209
10.312;30.9734;209.027;0.9;240;0.3;-0.205303
10.4146;30.7258;209.274;0.9;240;0.3;-0.20727
10.519;30.4746;209.525;0.9;240;0.3;-0.214757
10.6221;30.2278;209.772;0.9;240;0.3;-0.206582
10.7246;29.9836;210.016;0.9;240;0.3;-0.196472
10.832;29.729;210.271;0.9;240;0.3;-0.233709
10.9329;29.4905;210.51;0.9;240;0.3;-0.187861
11.0615;29.1883;210.812;0.9;240;0.3;-0.187221
