Kp: 0.28
Ki: 0.0553574
Kd: 0.531094
tau: 0.025
limMin: 0
limMax: 0.625
intLimMin: 0.25
intLimMax: 0.5
holdSpeed: 210
T: 0.05
setpoint: 210
t;error;speed;out;setpoint
0.168869;-0.0578308;210.058;0.408194;210
0.280685;-0.0557556;210.056;0.408628;210
0.39798;-0.0535583;210.054;0.40993;210
0.512268;-0.0513;210.051;0.410948;210
0.628372;-0.0487213;210.049;0.412331;210
0.743698;-0.0460358;210.046;0.413563;210
0.854187;-0.0432739;210.043;0.414675;210
0.965698;-0.0404205;210.04;0.414533;210
1.07794;-0.0375214;210.038;0.416023;210
1.19293;-0.0346069;210.035;0.417149;210
1.31238;-0.0317688;210.032;0.41537;210
1.43196;-0.0293427;210.029;0.414716;210
1.54768;-0.0274811;210.027;0.411778;210
1.668;-0.0260773;210.026;0.40977;210
1.78711;-0.0254059;210.025;0.406158;210
1.90776;-0.0254822;210.025;0.401406;210
2.02724;-0.0259705;210.026;0.399213;210
2.14915;-0.0264435;210.026;0.399582;210
2.26494;-0.0262299;210.026;0.404225;210
2.38214;-0.0247803;210.025;0.411656;210
2.5025;-0.0213318;210.021;0.423856;210
2.61824;-0.0161591;210.016;0.433258;210
2.73849;-0.00897217;210.009;0.446424;210
2.85558;-0.000534058;210.001;0.452842;210
2.97961;0.00933838;209.991;0.464531;210
3.09682;0.0190277;209.981;0.463836;210
3.21918;0.0292206;209.971;0.470473;210
3.33652;0.0389099;209.961;0.472188;210
3.45503;0.0483551;209.952;0.473817;210
3.56921;0.0571594;209.943;0.473098;210
3.68527;0.0653839;209.935;0.47077;210
3.80688;0.0730286;209.927;0.470649;210
3.92082;0.0789795;209.921;0.463207;210
4.0439;0.0842438;209.916;0.46348;210
4.15729;0.0877838;209.912;0.455548;210
4.27188;0.0903015;209.91;0.449969;210
4.3868;0.0920105;209.908;0.447729;210
4.49918;0.0928345;209.907;0.443162;210
4.61455;0.0930023;209.907;0.441187;210
4.72298;0.0924835;209.908;0.43798;210
4.83809;0.0911865;209.909;0.433911;210
4.9482;0.0894623;209.911;0.431011;210
5.06844;0.086853;209.913;0.427021;210
5.18349;0.0839081;209.916;0.425205;210
5.30075;0.0804443;209.92;0.421885;210
5.41512;0.0768738;209.923;0.420454;210
5.52698;0.0732422;209.927;0.420281;210
5.64148;0.0696106;209.93;0.419428;210
5.75697;0.0660553;209.934;0.420667;210
5.87231;0.0627136;209.937;0.420806;210
5.9868;0.0597839;209.94;0.422777;210
6.1109;0.0569611;209.943;0.423131;210
6.22528;0.0546875;209.945;0.424786;210
6.3434;0.0523376;209.948;0.423879;210
