Kp: 1
Ki: 0
Kd: 0
tau: 0.025
limMin: 0.25
limMax: 0.75
intLimMin: 0.25
intLimMax: 0.5
holdSpeed: 245
T: 0.05
setpoint: 245
t;error;speed;out;setpoint
0.15918;18.7139;226.286;0.95;245
0.268066;18.7195;226.281;0.95;245
0.371094;18.7252;226.275;0.95;245
0.479492;18.7317;226.268;0.95;245
0.582031;18.7378;226.262;0.95;245
0.688965;18.7431;226.257;0.95;245
0.791504;18.7467;226.253;0.95;245
0.894531;18.7477;226.252;0.95;245
0.998535;18.7453;226.255;0.95;245
1.10449;18.7382;226.262;0.95;245
1.2085;18.726;226.274;0.95;245
1.31787;18.7064;226.294;0.95;245
1.42432;18.6797;226.32;0.95;245
1.53125;18.6448;226.355;0.95;245
1.63623;18.6019;226.398;0.95;245
1.7417;18.549;226.451;0.95;245
1.84961;18.4843;226.516;0.95;245
1.96289;18.4044;226.596;0.95;245
2.06836;18.3187;226.681;0.95;245
2.17871;18.2159;226.784;0.95;245
2.27881;18.112;226.888;0.95;245
2.38818;17.9858;227.014;0.95;245
2.50195;17.8403;227.16;0.95;245
2.60889;17.6914;227.309;0.95;245
2.71533;17.5295;227.471;0.95;245
2.81982;17.3601;227.64;0.95;245
2.92627;17.1741;227.826;0.95;245
3.02979;16.9825;228.018;0.95;245
3.13721;16.7718;228.228;0.95;245
3.24072;16.5567;228.443;0.95;245
3.34619;16.3275;228.673;0.95;245
3.44727;16.0971;228.903;0.95;245
3.5498;15.8533;229.147;0.95;245
3.65479;15.5944;229.406;0.95;245
3.75977;15.3251;229.675;0.95;245
3.86377;15.0484;229.952;0.95;245
3.96484;14.7722;230.228;0.75;245
4.06738;14.4825;230.517;0.75;245
4.18066;14.1517;230.848;0.75;245
4.28564;13.8389;231.161;0.75;245
4.39062;13.5175;231.482;0.75;245
4.49365;13.1984;231.802;0.75;245
4.6001;12.8636;232.136;0.75;245
4.70801;12.5229;232.477;0.75;245
4.81348;12.1917;232.808;0.75;245
4.91797;11.8655;233.134;0.75;245
5.02881;11.5235;233.477;0.75;245
5.13672;11.1971;233.803;0.75;245
5.24463;10.8772;234.123;0.75;245
5.35059;10.5729;234.427;0.75;245
5.4541;10.2827;234.717;0.75;245
5.55664;10.004;234.996;0.75;245
5.6665;9.71561;235.284;0.75;245
5.77002;9.4537;235.546;0.75;245
5.87598;9.19473;235.805;0.75;245
5.979;8.9512;236.049;0.75;245
6.08301;8.71515;236.285;0.75;245
6.18799;8.48555;236.514;0.75;245
6.29443;8.26244;236.738;0.75;245
6.39795;8.05316;236.947;0.75;245
6.50293;7.84966;237.15;0.75;245
6.60889;7.65186;237.348;0.75;245
6.71484;7.46236;237.538;0.75;245
6.81982;7.28175;237.718;0.75;245
6.92432;7.10876;237.891;0.75;245
7.02539;6.94716;238.053;0.75;245
7.12988;6.78638;238.214;0.75;245
7.2417;6.62096;238.379;0.75;245
7.34961;6.4673;238.533;0.75;245
7.45605;6.32089;238.679;0.75;245
7.56055;6.18169;238.818;0.75;245
7.66895;6.0425;238.958;0.75;245
7.78223;5.90146;239.099;0.75;245
7.88281;5.78029;239.22;0.75;245
7.9917;5.65292;239.347;0.75;245
8.09814;5.53192;239.468;0.75;245
8.20508;5.4136;239.586;0.75;245
8.31299;5.29723;239.703;0.75;245
8.42236;5.18216;239.818;0.75;245
8.52539;5.07654;239.923;0.75;245
8.63135;4.97;240.03;0.75;245
8.73877;4.86414;240.136;0.625;245
8.85547;4.75151;240.248;0.625;245
8.9624;4.65025;240.35;0.625;245
9.07031;4.54955;240.45;0.625;245
9.17871;4.45093;240.549;0.625;245
9.29102;4.35014;240.65;0.625;245
9.40381;4.25151;240.748;0.625;245
9.51367;4.15749;240.843;0.625;245
9.62305;4.06578;240.934;0.625;245
9.73193;3.97688;241.023;0.625;245
9.8418;3.88989;241.11;0.625;245
9.9502;3.80585;241.194;0.625;245
10.0605;3.72319;241.277;0.625;245
10.1675;3.64519;241.355;0.625;245
10.2764;3.5679;241.432;0.625;245
10.3843;3.49368;241.506;0.625;245
10.4917;3.42192;241.578;0.625;245
10.6006;3.35149;241.649;0.625;245
10.7095;3.28276;241.717;0.625;245
10.8193;3.21535;241.785;0.625;245
