Kp: 10
Ki: 0
Kd: 0
tau: 0.025
limMin: 0
limMax: 0.625
intLimMin: 0.25
intLimMax: 0.5
holdSpeed: 210
T: 0.05
setpoint: 210
t;error;speed;out;setpoint
0.16748;10.7549;199.245;0.75;210
0.283691;10.7467;199.253;0.75;210
0.391113;10.7389;199.261;0.75;210
0.505371;10.7306;199.269;0.75;210
0.62207;10.7212;199.279;0.75;210
0.738281;10.7105;199.289;0.75;210
0.844727;10.6991;199.301;0.75;210
1.01318;10.6763;199.324;0.75;210
1.11963;10.6588;199.341;0.75;210
1.23633;10.6364;199.364;0.75;210
1.34277;10.6126;199.387;0.75;210
1.45752;10.5831;199.417;0.75;210
1.56348;10.5524;199.448;0.75;210
1.67139;10.5176;199.482;0.75;210
1.78076;10.4786;199.521;0.75;210
1.89111;10.4352;199.565;0.75;210
2.00781;10.385;199.615;0.75;210
2.11865;10.3332;199.667;0.75;210
2.21924;10.2827;199.717;0.75;210
2.3335;10.2216;199.778;0.75;210
2.44189;10.1593;199.841;0.75;210
2.55908;10.088;199.912;0.75;210
2.66748;10.0184;199.982;0.75;210
2.7832;9.94031;200.06;0.75;210
2.89844;9.85815;200.142;0.75;210
3.00586;9.77856;200.221;0.75;210
3.11328;9.69606;200.304;0.75;210
3.22119;9.61003;200.39;0.75;210
3.33691;9.51421;200.486;0.75;210
3.44385;9.42329;200.577;0.75;210
3.5498;9.33028;200.67;0.75;210
3.6543;9.23602;200.764;0.75;210
3.76123;9.13765;200.862;0.75;210
3.87598;9.02913;200.971;0.75;210
3.98389;8.92502;201.075;0.75;210
4.08838;8.82195;201.178;0.75;210
4.19727;8.71291;201.287;0.75;210
4.30664;8.60112;201.399;0.75;210
4.4165;8.487;201.513;0.75;210
4.52197;8.37613;201.624;0.75;210
4.62842;8.26256;201.737;0.75;210
4.73145;8.15076;201.849;0.75;210
4.83936;8.03293;201.967;0.75;210
4.95264;7.90781;202.092;0.75;210
5.06689;7.78024;202.22;0.75;210
5.17432;7.65897;202.341;0.75;210
5.28174;7.53711;202.463;0.75;210
5.39844;7.40312;202.597;0.75;210
5.50586;7.27925;202.721;0.75;210
5.62305;7.14281;202.857;0.75;210
5.73926;7.00697;202.993;0.75;210
5.84814;6.87851;203.121;0.75;210
5.96436;6.74126;203.259;0.75;210
6.08203;6.60135;203.399;0.75;210
6.20068;6.46002;203.54;0.75;210
6.31055;6.32848;203.672;0.75;210
6.42334;6.19284;203.807;0.75;210
6.5332;6.06053;203.939;0.75;210
6.64014;5.93143;204.069;0.75;210
6.75537;5.79185;204.208;0.75;210
6.87061;5.65146;204.349;0.75;210
6.98389;5.51366;204.486;0.75;210
7.09131;5.38289;204.617;0.75;210
7.20215;5.24817;204.752;0.75;210
7.30908;5.11745;204.883;0.75;210
7.42188;4.97963;205.02;0.75;210
7.53809;4.83781;205.162;0.625;210
7.64697;4.70447;205.296;0.625;210
7.76367;4.56194;205.438;0.625;210
7.88184;4.41753;205.582;0.625;210
7.99561;4.27937;205.721;0.625;210
8.10352;4.1483;205.852;0.625;210
8.2124;4.0168;205.983;0.625;210
8.32129;3.88649;206.114;0.625;210
8.42822;3.7598;206.24;0.625;210
8.53369;3.63635;206.364;0.625;210
8.63916;3.51424;206.486;0.625;210
8.74365;3.39551;206.604;0.625;210
8.84814;3.27782;206.722;0.625;210
8.96045;3.15434;206.846;0.625;210
9.07227;3.03275;206.967;0.625;210
9.17969;2.91811;207.082;0.625;210
9.28662;2.8063;207.194;0.625;210
9.39453;2.69553;207.304;0.625;210
9.50293;2.58611;207.414;0.625;210
9.61035;2.47961;207.52;0.625;210
9.71631;2.37653;207.623;0.625;210
9.82373;2.27411;207.726;0.625;210
9.93115;2.17345;207.827;0.625;210
10.04;2.07292;207.927;0.625;210
10.1494;1.97401;208.026;0.625;210
10.2573;1.87811;208.122;0.625;210
10.3682;1.78134;208.219;0.625;210
10.4771;1.68755;208.312;0.625;210
10.5864;1.59488;208.405;0.625;210
10.6934;1.50565;208.494;0.625;210
10.8022;1.41595;208.584;0.625;210
10.9116;1.32744;208.673;0.625;210
11.0186;1.24211;208.758;0.625;210
11.1289;1.15471;208.845;0.625;210
11.2363;1.07115;208.929;0.625;210
11.3442;0.987732;209.012;0.625;210
11.4536;0.904419;209.096;0.625;210
11.5591;0.824829;209.175;0.625;210
11.666;0.744614;209.255;0.625;210
11.7729;0.665054;209.335;0.625;210
11.8813;0.585251;209.415;0.625;210
11.9893;0.506546;209.493;0.625;210
12.0967;0.428558;209.571;0.625;210
12.2031;0.351562;209.648;0.625;210
12.3115;0.273773;209.726;0.625;210
12.4199;0.196548;209.803;0.625;210
12.5288;0.119064;209.881;0.625;210
12.6367;0.0426025;209.957;0.625;210
12.7432;-0.0324097;210.032;0;210
12.8496;-0.107544;210.108;0;210
12.9565;-0.182602;210.183;0;210
13.0679;-0.260468;210.26;0;210
13.1782;-0.337463;210.337;0;210
13.2891;-0.413834;210.414;0;210
13.3975;-0.487579;210.488;0;210
13.5049;-0.559006;210.559;0;210
13.6133;-0.628662;210.629;0;210
13.7222;-0.695724;210.696;0;210
13.833;-0.760071;210.76;0;210
13.939;-0.817139;210.817;0;210
14.0474;-0.870514;210.871;0;210
14.1558;-0.917953;210.918;0;210
14.2642;-0.959198;210.959;0;210
14.3696;-0.992828;210.993;0;210
14.4775;-1.02043;211.02;0;210
14.585;-1.04059;211.041;0;210
14.6919;-1.05348;211.053;0;210
14.7993;-1.05923;211.059;0;210
14.9067;-1.05756;211.058;0;210
15.0195;-1.04787;211.048;0;210
15.1348;-1.0298;211.03;0;210
15.2437;-1.00539;211.005;0;210
15.353;-0.97406;210.974;0;210
15.4624;-0.935974;210.936;0;210
15.5713;-0.891632;210.892;0;210
15.6812;-0.840561;210.841;0;210
15.7896;-0.784775;210.785;0;210
15.8979;-0.72348;210.723;0;210
16.0049;-0.658264;210.658;0;210
16.1138;-0.587479;210.587;0;210
16.2222;-0.512665;210.513;0;210
16.3306;-0.434082;210.434;0;210
16.4385;-0.352112;210.352;0;210
16.5483;-0.265167;210.265;0;210
16.6567;-0.176468;210.176;0;210
16.7656;-0.0845337;210.085;0;210
16.8745;0.00965881;209.99;0.346588;210
16.9839;0.106491;209.894;0.625;210
17.0923;0.204834;209.795;0.625;210
17.2026;0.306473;209.694;0.625;210
17.312;0.409119;209.591;0.625;210
17.4189;0.510559;209.489;0.625;210
17.5269;0.614349;209.386;0.625;210
17.6353;0.719437;209.281;0.625;210
17.7412;0.823471;209.177;0.625;210
17.8496;0.930298;209.07;0.625;210
17.9575;1.03699;208.963;0.625;210
18.0674;1.14572;208.854;0.625;210
18.1748;1.25246;208.748;0.625;210
18.2837;1.35995;208.64;0.625;210
18.3926;1.46646;208.534;0.625;210
18.5029;1.57318;208.427;0.625;210
18.6108;1.6757;208.324;0.625;210
18.7188;1.77632;208.224;0.625;210
18.8276;1.87488;208.125;0.625;210
18.936;1.97011;208.03;0.625;210
19.0469;2.06363;207.936;0.625;210
19.1523;2.14906;207.851;0.625;210
19.2607;2.23247;207.768;0.625;210
19.3691;2.3112;207.689;0.625;210
19.478;2.38496;207.615;0.625;210
19.5864;2.45274;207.547;0.625;210
19.6948;2.51492;207.485;0.625;210
19.8037;2.57118;207.429;0.625;210
19.9126;2.62059;207.379;0.625;210
20.0259;2.66461;207.335;0.625;210
20.1401;2.70123;207.299;0.625;210
20.2495;2.72899;207.271;0.625;210
20.3574;2.74908;207.251;0.625;210
20.4663;2.76195;207.238;0.625;210
20.5742;2.76749;207.233;0.625;210
20.6821;2.76614;207.234;0.625;210
20.7871;2.75815;207.242;0.625;210
20.8936;2.74367;207.256;0.625;210
21.0005;2.72278;207.277;0.625;210
21.1182;2.69276;207.307;0.625;210
21.2271;2.65851;207.341;0.625;210
21.3374;2.618;207.382;0.625;210
21.4458;2.57254;207.427;0.625;210
21.5586;2.51985;207.48;0.625;210
21.6729;2.46146;207.539;0.625;210
21.7803;2.4017;207.598;0.625;210
21.8877;2.33777;207.662;0.625;210
21.9961;2.26955;207.73;0.625;210
22.1035;2.1983;207.802;0.625;210
22.2114;2.12343;207.877;0.625;210
22.3198;2.04526;207.955;0.625;210
22.4258;1.96622;208.034;0.625;210
22.5352;1.8821;208.118;0.625;210
22.6426;1.79723;208.203;0.625;210
22.7505;1.70952;208.29;0.625;210
22.8579;1.62085;208.379;0.625;210
22.9668;1.52934;208.471;0.625;210
23.082;1.43115;208.569;0.625;210
23.1938;1.33394;208.666;0.625;210
23.3027;1.23871;208.761;0.625;210
23.4111;1.14294;208.857;0.625;210
23.5186;1.04747;208.953;0.625;210
23.626;0.95137;209.049;0.625;210
23.7339;0.854279;209.146;0.625;210
23.8408;0.757782;209.242;0.625;210
23.9482;0.660919;209.339;0.625;210
24.0552;0.564117;209.436;0.625;210
24.1626;0.466812;209.533;0.625;210
24.269;0.370209;209.63;0.625;210
24.3779;0.272034;209.728;0.625;210
24.4854;0.175217;209.825;0.625;210
24.5972;0.0747833;209.925;0.625;210
24.7026;-0.0197449;210.02;0.0525513;210
24.8096;-0.114883;210.115;0;210
24.918;-0.210938;210.211;0;210
25.0239;-0.304337;210.304;0;210
25.1313;-0.398392;210.398;0;210
25.2422;-0.493805;210.494;0;210
25.3491;-0.584579;210.585;0;210
25.4575;-0.674271;210.674;0;210
25.5649;-0.759903;210.76;0;210
25.6724;-0.842331;210.842;0;210
25.7808;-0.920609;210.921;0;210
25.8877;-0.993088;210.993;0;210
25.9966;-1.06038;211.06;0;210
26.105;-1.12094;211.121;0;210
26.2129;-1.17395;211.174;0;210
26.3218;-1.21988;211.22;0;210
26.4297;-1.25734;211.257;0;210
26.5391;-1.28703;211.287;0;210
26.647;-1.30786;211.308;0;210
26.7539;-1.32045;211.32;0;210
26.8608;-1.32477;211.325;0;210
26.9688;-1.32066;211.321;0;210
27.0742;-1.30899;211.309;0;210
27.1929;-1.2867;211.287;0;210
27.3018;-1.25821;211.258;0;210
27.4106;-1.22188;211.222;0;210
27.519;-1.17865;211.179;0;210
27.6274;-1.12863;211.129;0;210
27.7354;-1.07253;211.073;0;210
27.8423;-1.01067;211.011;0;210
27.9492;-0.943527;210.944;0;210
28.0586;-0.869293;210.869;0;210
28.1646;-0.792862;210.793;0;210
28.271;-0.711029;210.711;0;210
28.3799;-0.623505;210.624;0;210
28.4868;-0.533646;210.534;0;210
28.5938;-0.44014;210.44;0;210
28.6997;-0.343887;210.344;0;210
28.8076;-0.24324;210.243;0;210
28.9131;-0.141922;210.142;0;210
29.0205;-0.0364838;210.036;0;210
29.1318;0.0753632;209.925;0.625;210
29.2368;0.18248;209.818;0.625;210
29.3462;0.296051;209.704;0.625;210
29.4551;0.411469;209.589;0.625;210
29.563;0.526779;209.473;0.625;210
29.6709;0.643524;209.356;0.625;210
29.7793;0.761459;209.239;0.625;210
29.8877;0.880737;209.119;0.625;210
29.9941;0.998596;209.001;0.625;210
30.1006;1.11699;208.883;0.625;210
30.2095;1.23828;208.762;0.625;210
30.3149;1.3562;208.644;0.625;210
30.4219;1.47527;208.525;0.625;210
30.5317;1.59665;208.403;0.625;210
30.6387;1.7141;208.286;0.625;210
30.7451;1.82935;208.171;0.625;210
30.8521;1.94324;208.057;0.625;210
30.9585;2.05447;207.946;0.625;210
31.0664;2.16449;207.836;0.625;210
31.1787;2.27483;207.725;0.625;210
31.2837;2.37485;207.625;0.625;210
31.394;2.47565;207.524;0.625;210
31.5005;2.5686;207.431;0.625;210
31.6084;2.65775;207.342;0.625;210
31.7153;2.74086;207.259;0.625;210
31.8159;2.81419;207.186;0.625;210
31.9175;2.88287;207.117;0.625;210
32.0269;2.95027;207.05;0.625;210
32.1406;3.01324;206.987;0.625;210
32.2456;3.06465;206.935;0.625;210
32.353;3.11009;206.89;0.625;210
32.4692;3.15097;206.849;0.625;210
32.5762;3.18103;206.819;0.625;210
32.6846;3.20409;206.796;0.625;210
32.7866;3.21909;206.781;0.625;210
32.895;3.22803;206.772;0.625;210
33.0586;3.22787;206.772;0.625;210
33.1714;3.2186;206.781;0.625;210
33.2847;3.2021;206.798;0.625;210
33.395;3.17937;206.821;0.625;210
33.5044;3.15057;206.849;0.625;210
33.6104;3.11696;206.883;0.625;210
33.7178;3.07765;206.922;0.625;210
33.8286;3.03178;206.968;0.625;210
33.9375;2.98143;207.019;0.625;210
34.0454;2.92732;207.073;0.625;210
34.1577;2.8661;207.134;0.625;210
34.2651;2.80391;207.196;0.625;210
34.3755;2.73589;207.264;0.625;210
34.4888;2.66264;207.337;0.625;210
34.606;2.58342;207.417;0.625;210
34.7173;2.50473;207.495;0.625;210
34.8228;2.42805;207.572;0.625;210
34.9292;2.3485;207.652;0.625;210
35.0376;2.26512;207.735;0.625;210
35.1465;2.17989;207.82;0.625;210
35.252;2.09569;207.904;0.625;210
35.3599;2.00775;207.992;0.625;210
35.4771;1.91139;208.089;0.625;210
35.5918;1.81537;208.185;0.625;210
35.707;1.71819;208.282;0.625;210
35.8159;1.62544;208.375;0.625;210
35.9336;1.52422;208.476;0.625;210
36.0449;1.42783;208.572;0.625;210
36.1606;1.32738;208.673;0.625;210
36.2695;1.23289;208.767;0.625;210
36.3789;1.13751;208.862;0.625;210
36.4863;1.04385;208.956;0.625;210
36.5942;0.949387;209.051;0.625;210
36.709;0.849258;209.151;0.625;210
36.8179;0.754913;209.245;0.625;210
36.9248;0.661804;209.338;0.625;210
37.0425;0.559952;209.44;0.625;210
37.1494;0.467651;209.532;0.625;210
37.2559;0.376221;209.624;0.625;210
37.3633;0.284317;209.716;0.625;210
37.479;0.185684;209.814;0.625;210
37.5879;0.0938721;209.906;0.625;210
37.7031;-0.0030365;210.003;0.219635;210
37.8105;-0.0927887;210.093;0;210
37.9282;-0.190674;210.191;0;210
38.0327;-0.276428;210.276;0;210
38.1411;-0.364914;210.365;0;210
38.2573;-0.458649;210.459;0;210
38.3633;-0.542404;210.542;0;210
38.4712;-0.625931;210.626;0;210
38.585;-0.711227;210.711;0;210
38.7021;-0.794785;210.795;0;210
38.8086;-0.86676;210.867;0;210
38.9185;-0.93544;210.935;0;210
39.0342;-1.00175;211.002;0;210
39.1519;-1.06155;211.062;0;210
39.2627;-1.10997;211.11;0;210
39.3735;-1.15088;211.151;0;210
39.4888;-1.18483;211.185;0;210
39.6055;-1.20969;211.21;0;210
39.7212;-1.2251;211.225;0;210
39.8296;-1.23082;211.231;0;210
39.9463;-1.22791;211.228;0;210
40.0562;-1.21634;211.216;0;210
40.1719;-1.19536;211.195;0;210
40.2881;-1.16557;211.166;0;210
40.4434;-1.11215;211.112;0;210
40.5576;-1.06363;211.064;0;210
40.6636;-1.01192;211.012;0;210
40.7749;-0.950867;210.951;0;210
40.8867;-0.88324;210.883;0;210
41.0015;-0.807816;210.808;0;210
41.1084;-0.73233;210.732;0;210
41.2197;-0.648621;210.649;0;210
41.3306;-0.560562;210.561;0;210
41.4385;-0.471115;210.471;0;210
41.5449;-0.378708;210.379;0;210
41.6597;-0.275452;210.275;0;210
41.7754;-0.168091;210.168;0;210
41.8853;-0.0625305;210.063;0;210
41.9941;0.0443878;209.956;0.625;210
42.1084;0.15918;209.841;0.625;210
42.2251;0.278625;209.721;0.625;210
42.334;0.392349;209.608;0.625;210
42.4419;0.506805;209.493;0.625;210
42.5586;0.631989;209.368;0.625;210
42.6738;0.756683;209.243;0.625;210
42.7798;0.873032;209.127;0.625;210
42.8882;0.991989;209.008;0.625;210
43.0039;1.1207;208.879;0.625;210
43.1157;1.24466;208.755;0.625;210
43.2285;1.37009;208.63;0.625;210
43.3398;1.49347;208.507;0.625;210
43.4482;1.61311;208.387;0.625;210
43.5576;1.73212;208.268;0.625;210
43.6646;1.84698;208.153;0.625;210
43.7769;1.96501;208.035;0.625;210
43.8818;2.07326;207.927;0.625;210
43.9961;2.18765;207.812;0.625;210
44.105;2.29254;207.707;0.625;210
44.2188;2.39795;207.602;0.625;210
44.3188;2.48721;207.513;0.625;210
44.4277;2.57936;207.421;0.625;210
44.5376;2.66663;207.333;0.625;210
44.6523;2.75223;207.248;0.625;210
44.7627;2.82803;207.172;0.625;210
44.875;2.89818;207.102;0.625;210
44.9893;2.96236;207.038;0.625;210
45.0981;3.01651;206.983;0.625;210
45.2139;3.06587;206.934;0.625;210
45.3223;3.10448;206.896;0.625;210
45.4302;3.13583;206.864;0.625;210
45.5454;3.16144;206.839;0.625;210
45.6592;3.1786;206.821;0.625;210
45.7734;3.18785;206.812;0.625;210
45.8838;3.18942;206.811;0.625;210
45.9995;3.18343;206.817;0.625;210
46.1152;3.1702;206.83;0.625;210
46.2222;3.15141;206.849;0.625;210
46.3398;3.12393;206.876;0.625;210
46.4473;3.09302;206.907;0.625;210
46.5635;3.05356;206.946;0.625;210
46.6787;3.00845;206.992;0.625;210
46.7925;2.95859;207.041;0.625;210
46.8984;2.90793;207.092;0.625;210
47.0059;2.85214;207.148;0.625;210
47.124;2.7865;207.214;0.625;210
47.2368;2.71968;207.28;0.625;210
47.3418;2.65427;207.346;0.625;210
47.4536;2.58144;207.419;0.625;210
47.5698;2.50241;207.498;0.625;210
47.6724;2.43019;207.57;0.625;210
47.7886;2.3461;207.654;0.625;210
47.897;2.26535;207.735;0.625;210
48.0039;2.1835;207.816;0.625;210
48.1167;2.09587;207.904;0.625;210
48.2314;2.0049;207.995;0.625;210
48.3374;1.91959;208.08;0.625;210
48.4453;1.8317;208.168;0.625;210
48.562;1.73543;208.265;0.625;210
48.6777;1.63927;208.361;0.625;210
48.793;1.54228;208.458;0.625;210
48.9106;1.44276;208.557;0.625;210
49.0171;1.35223;208.648;0.625;210
49.1255;1.25954;208.74;0.625;210
49.2432;1.15884;208.841;0.625;210
49.3511;1.06627;208.934;0.625;210
49.4609;0.972488;209.028;0.625;210
49.5713;0.877792;209.122;0.625;210
49.6768;0.787201;209.213;0.625;210
49.7891;0.691101;209.309;0.625;210
49.8999;0.596619;209.403;0.625;210
50.0107;0.502441;209.498;0.625;210
50.1274;0.403183;209.597;0.625;210
50.2446;0.304611;209.695;0.625;210
50.3521;0.214294;209.786;0.625;210
50.4585;0.125;209.875;0.625;210
50.5596;0.0412292;209.959;0.625;210
50.6665;-0.0474396;210.047;0;210
50.7729;-0.134598;210.135;0;210
50.875;-0.218216;210.218;0;210
50.9824;-0.305237;210.305;0;210
51.0942;-0.395081;210.395;0;210
51.2104;-0.487106;210.487;0;210
51.3315;-0.581421;210.581;0;210
51.4409;-0.663712;210.664;0;210
51.5581;-0.748825;210.749;0;210
51.7144;-0.854797;210.855;0;210
51.8213;-0.92189;210.922;0;210
51.9292;-0.983505;210.984;0;210
52.0366;-1.03893;211.039;0;210
52.145;-1.08789;211.088;0;210
52.2603;-1.13208;211.132;0;210
52.3682;-1.16521;211.165;0;210
52.4756;-1.1906;211.191;0;210
52.5825;-1.20795;211.208;0;210
52.6919;-1.21716;211.217;0;210
52.8008;-1.21819;211.218;0;210
52.9082;-1.21106;211.211;0;210
53.0142;-1.19643;211.196;0;210
53.127;-1.1723;211.172;0;210
53.2339;-1.14177;211.142;0;210
53.3462;-1.10204;211.102;0;210
53.4556;-1.05597;211.056;0;210
53.5708;-1.00011;211;0;210
53.687;-0.936279;210.936;0;210
53.8008;-0.867325;210.867;0;210
53.9102;-0.795471;210.795;0;210
54.02;-0.717758;210.718;0;210
54.1279;-0.636597;210.637;0;210
54.2427;-0.545303;210.545;0;210
54.3501;-0.455658;210.456;0;210
54.4546;-0.365204;210.365;0;210
54.564;-0.26709;210.267;0;210
54.6724;-0.166168;210.166;0;210
54.7788;-0.0643158;210.064;0;210
54.8901;0.0447693;209.955;0.625;210
54.9985;0.153824;209.846;0.625;210
55.1143;0.272263;209.728;0.625;210
55.2241;0.386353;209.614;0.625;210
55.3364;0.505493;209.495;0.625;210
55.4463;0.623276;209.377;0.625;210
55.5625;0.748901;209.251;0.625;210
55.6777;0.874969;209.125;0.625;210
55.7939;1.00317;208.997;0.625;210
55.9019;1.1234;208.877;0.625;210
56.0171;1.25142;208.749;0.625;210
56.1338;1.38147;208.619;0.625;210
56.2412;1.50032;208.5;0.625;210
56.3486;1.6192;208.381;0.625;210
56.4595;1.73976;208.26;0.625;210
56.5737;1.86276;208.137;0.625;210
56.6812;1.97543;208.025;0.625;210
56.7881;2.08559;207.914;0.625;210
56.9028;2.20045;207.8;0.625;210
57.0107;2.30447;207.696;0.625;210
57.1182;2.40439;207.596;0.625;210
57.2339;2.50674;207.493;0.625;210
57.3442;2.59955;207.4;0.625;210
57.4458;2.68013;207.32;0.625;210
57.5586;2.76375;207.236;0.625;210
57.6729;2.84163;207.158;0.625;210
57.7769;2.9066;207.093;0.625;210
57.8848;2.96721;207.033;0.625;210
57.9937;3.02161;206.978;0.625;210
58.1167;3.0742;206.926;0.625;210
58.2329;3.11536;206.885;0.625;210
58.3486;3.14796;206.852;0.625;210
58.4634;3.17183;206.828;0.625;210
58.5742;3.18712;206.813;0.625;210
58.6914;3.19528;206.805;0.625;210
58.8066;3.1954;206.805;0.625;210
58.9155;3.18852;206.811;0.625;210
59.0322;3.17389;206.826;0.625;210
59.1479;3.15204;206.848;0.625;210
59.2578;3.12509;206.875;0.625;210
59.3672;3.09206;206.908;0.625;210
59.5078;3.04179;206.958;0.625;210
59.6157;2.99777;207.002;0.625;210
59.7246;2.94864;207.051;0.625;210
59.8325;2.8952;207.105;0.625;210
59.9395;2.83835;207.162;0.625;210
60.0498;2.77548;207.225;0.625;210
60.1587;2.71011;207.29;0.625;210
60.269;2.64026;207.36;0.625;210
60.376;2.56979;207.43;0.625;210
60.4824;2.49673;207.503;0.625;210
60.5898;2.42078;207.579;0.625;210
60.6982;2.34142;207.659;0.625;210
60.8149;2.25415;207.746;0.625;210
60.9219;2.17201;207.828;0.625;210
61.0327;2.08539;207.915;0.625;210
61.1431;1.9976;208.002;0.625;210
61.2593;1.90376;208.096;0.625;210
61.3633;1.81847;208.182;0.625;210
61.4736;1.72723;208.273;0.625;210
61.5845;1.63446;208.366;0.625;210
61.6919;1.54427;208.456;0.625;210
61.8076;1.44592;208.554;0.625;210
61.9165;1.35355;208.646;0.625;210
62.0317;1.25478;208.745;0.625;210
62.1494;1.15422;208.846;0.625;210
62.2671;1.05309;208.947;0.625;210
62.3828;0.95401;209.046;0.625;210
62.4995;0.853516;209.146;0.625;210
62.6177;0.752457;209.248;0.625;210
62.7251;0.660172;209.34;0.625;210
62.8408;0.561493;209.439;0.625;210
62.959;0.46109;209.539;0.625;210
63.0605;0.375397;209.625;0.625;210
63.1694;0.283173;209.717;0.625;210
63.2783;0.192093;209.808;0.625;210
63.3921;0.0967407;209.903;0.625;210
63.5015;0.00624084;209.994;0.312408;210
63.6167;-0.0890045;210.089;0;210
63.73;-0.181564;210.182;0;210
63.8433;-0.273834;210.274;0;210
63.9565;-0.365219;210.365;0;210
64.0708;-0.455948;210.456;0;210
64.1787;-0.540421;210.54;0;210
64.2959;-0.629715;210.63;0;210
64.4019;-0.707779;210.708;0;210
64.5151;-0.787094;210.787;0;210
64.627;-0.860825;210.861;0;210
64.7437;-0.932144;210.932;0;210
64.8608;-0.996536;210.997;0;210
64.9614;-1.04599;211.046;0;210
65.0767;-1.09511;211.095;0;210
65.1836;-1.13286;211.133;0;210
65.2974;-1.16499;211.165;0;210
65.4102;-1.18785;211.188;0;210
65.5171;-1.20131;211.201;0;210
65.624;-1.20695;211.207;0;210
65.7305;-1.20445;211.204;0;210
65.8374;-1.19408;211.194;0;210
65.9512;-1.17447;211.174;0;210
66.0596;-1.1479;211.148;0;210
66.167;-1.11404;211.114;0;210
66.2754;-1.07251;211.073;0;210
66.3809;-1.02548;211.025;0;210
66.4897;-0.970413;210.97;0;210
66.5967;-0.910141;210.91;0;210
66.7036;-0.844009;210.844;0;210
66.8179;-0.767685;210.768;0;210
66.9263;-0.69017;210.69;0;210
67.0815;-0.570312;210.57;0;210
67.1987;-0.474228;210.474;0;210
67.312;-0.377136;210.377;0;210
67.4194;-0.28154;210.282;0;210
67.5259;-0.183319;210.183;0;210
67.6323;-0.0821228;210.082;0;210
67.7417;0.0245972;209.975;0.495972;210
67.8496;0.132233;209.868;0.625;210
67.9624;0.247101;209.753;0.625;210
68.0767;0.365524;209.634;0.625;210
68.1865;0.481232;209.519;0.625;210
68.3022;0.605057;209.395;0.625;210
68.418;0.72998;209.27;0.625;210
68.5371;0.860031;209.14;0.625;210
68.6533;0.98793;209.012;0.625;210
68.7598;1.10608;208.894;0.625;210
68.8696;1.22827;208.772;0.625;210
68.9712;1.34134;208.659;0.625;210
69.0806;1.46312;208.537;0.625;210
69.186;1.58034;208.42;0.625;210
69.3013;1.70673;208.293;0.625;210
69.4097;1.82465;208.175;0.625;210
69.5244;1.94696;208.053;0.625;210
69.6357;2.06311;207.937;0.625;210
