Kp: 0.4
Ki: 0
Kd: 0
tau: 0.01
limMin: -0.8
limMax: 0.8
intLimMin: -0.25
intLimMax: 0.25
setpoint: 219.191
t;error;out
0.0334473;-0.00654602;-0.00261841
0.0669556;-0.00985718;-0.00394287
0.10022;-0.0131836;-0.00527344
0.13324;-0.01651;-0.006604
0.167938;-0.02005;-0.00802002
0.202942;-0.0236206;-0.00944824
0.234863;-0.026886;-0.0107544
0.264404;-0.0299072;-0.0119629
0.295044;-0.0331116;-0.0132446
0.325836;-0.0363312;-0.0145325
0.357239;-0.0396423;-0.0158569
0.388031;-0.0428467;-0.0171387
0.419342;-0.0462036;-0.0184814
0.451904;-0.0496674;-0.0198669
0.485443;-0.0532074;-0.021283
0.519409;-0.0568085;-0.0227234
0.551849;-0.0602112;-0.0240845
0.58551;-0.063797;-0.0255188
0.619019;-0.0672913;-0.0269165
0.654053;-0.0709229;-0.0283691
0.686737;-0.0742493;-0.0296997
0.720612;-0.0776367;-0.0310547
0.75238;-0.0807037;-0.0322815
0.785156;-0.0838165;-0.0335266
0.81839;-0.0868835;-0.0347534
0.851807;-0.0898895;-0.0359558
0.884766;-0.0926666;-0.0370666
0.918854;-0.0954132;-0.0381653
0.952728;-0.0980225;-0.039209
0.985382;-0.100327;-0.0401306
1.01889;-0.102554;-0.0410217
1.05194;-0.104538;-0.0418152
1.08594;-0.106308;-0.0425232
1.11948;-0.107895;-0.043158
1.15158;-0.1091;-0.0436401
1.18515;-0.110153;-0.0440613
1.21872;-0.11084;-0.0443359
1.25275;-0.111252;-0.0445007
1.28574;-0.111359;-0.0445435
1.31598;-0.111191;-0.0444763
1.34323;-0.110779;-0.0443115
1.37094;-0.110153;-0.0440613
1.40436;-0.109009;-0.0436035
1.42923;-0.10788;-0.0431519
1.45392;-0.106598;-0.0426392
1.47888;-0.105057;-0.0420227
1.50342;-0.103287;-0.0413147
1.52884;-0.101151;-0.0404602
1.5538;-0.0989075;-0.039563
1.57895;-0.0963593;-0.0385437
1.60614;-0.0933228;-0.0373291
1.62924;-0.0905151;-0.0362061
1.65167;-0.0875854;-0.0350342
1.67505;-0.0843201;-0.033728
1.70068;-0.0804443;-0.0321777
1.73047;-0.0755768;-0.0302307
1.75424;-0.0714417;-0.0285767
1.77826;-0.0669708;-0.0267883
